Home,Away
Miami FL,Duke
Georgia,Florida
LSU,Tennessee
Alabama,Mississippi St.
Oklahoma St.,Iowa St.
Santa Clara,Gonzaga
Missouri,South Carolina
Wisconsin,Washington
Illinois,Iowa
Virginia Tech,Louisville
Cincinnati,Baylor
Marquette,Providence
West Virginia,TCU
Richmond,VCU
San Diego St.,New Mexico
Minnesota,Northwestern
Pittsburgh,Georgia Tech
Air Force,Colorado St.
Nevada,Wyoming
San Jose St.,UNLV
Ball St.,Akron
Tulsa,South Dakota St.
Texas St.,Troy
Davidson,Saint Louis
Southern Illinois,Illinois St.
Kent St.,Toledo
Georgia Southern,Appalachian St.
Louisiana Monroe,James Madison
Western Michigan,Ohio
Murray St.,Indiana St.
Miami OH,Northern Illinois
Central Michigan,Buffalo
Marshall,Old Dominion
Lafayette,Army
Eastern Michigan,Bowling Green
Western Illinois,Lindenwood
