Home,Away,Home_Advantage
Georgia Tech,Duke,-1
Houston,Colorado,2
Texas Tech,Baylor,1
Iowa St.,BYU,-2
Kansas,Arizona,-1.25
Iowa,Illinois,-1
Oklahoma,Kentucky,-1
USC,Purdue,-1.25
Wisconsin,Northwestern,0
Missouri,Mississippi St.,0
Texas A&M,Texas,1
St. John's,Butler,1
Stanford,Louisville,0
SMU,Clemson,0
Xavier,Marquette,0
Mississippi,Arkansas,1
Villanova,Connecticut,0
DePaul,Creighton,0
Oregon,Indiana,0
Wake Forest,North Carolina,0
San Jose St.,New Mexico,0
San Diego St.,Boise St.,0
Utah St.,UNLV,0
Nevada,Colorado St.,0
Saint Joseph's,La Salle,0
St. Bonaventure,Duquesne,0
Bowling Green,Akron,0
Florida Atlantic,Charlotte,0
New Mexico St.,Kennesaw St.,0
Saint Louis,Davidson,0
Middle Tennessee,Louisiana Tech,0
George Washington,Fordham,0
Western Michigan,Kent St.,0
UC Santa Barbara,Cal St. Northridge,0
Seattle,Abilene Christian,0
Wichita St.,South Florida,0
UC Riverside,Cal Poly,0
Tulsa,Temple,0
Tarleton St.,Cal Baptist,0
Miami OH,Eastern Michigan,0
Toledo,Ohio,0
UTSA,East Carolina,0
Manhattan,Iona,0
Mount St. Mary's,Marist,0
Texas Southern,Alabama St.,0
Bethune Cookman,Alcorn St.,0
Morgan St.,Howard,0
North Carolina Central,Delaware St.,0
