Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Bryant,h2h,fanduel,,0.970873786,-3333.333333
New Hampshire,h2h,fanduel,,0.076923077,12
Bryant,spreads,fanduel,-18.5,0.5128205128205129,-105.2631579
New Hampshire,spreads,fanduel,18.5,0.534759358,-114.9425287
Over,totals,fanduel,151.5,0.5128205128205129,-105.2631579
Under,totals,fanduel,151.5,0.534759358,-114.9425287
Bryant,h2h,draftkings,,0.970873786,-3333.333333
New Hampshire,h2h,draftkings,,0.066666667,14
Bryant,spreads,draftkings,-18.5,0.5181347150259068,-107.5268817
New Hampshire,spreads,draftkings,18.5,0.5291005291005292,-112.3595506
Over,totals,draftkings,151.5,0.5128205128205129,-105.2631579
Under,totals,draftkings,151.5,0.534759358,-114.9425287
Bryant,h2h,betmgm,,0.9615384615384615,-2500
New Hampshire,h2h,betmgm,,0.08,11.5
Bryant,spreads,betmgm,-18.5,0.5128205128205129,-105.2631579
New Hampshire,spreads,betmgm,18.5,0.534759358,-114.9425287
Over,totals,betmgm,151.5,0.5128205128205129,-105.2631579
Under,totals,betmgm,151.5,0.534759358,-114.9425287
Coastal Carolina,h2h,fanduel,,0.4310344827586207,1.3199999999999998
Southern Miss,h2h,fanduel,,0.6172839506172839,-161.2903226
Coastal Carolina,spreads,fanduel,3.5,0.534759358,-114.9425287
Southern Miss,spreads,fanduel,-3.5,0.5128205128205129,-105.2631579
Over,totals,fanduel,140.5,0.5235602094240838,-109.8901099
Under,totals,fanduel,140.5,0.5235602094240838,-109.8901099
Coastal Carolina,h2h,draftkings,,0.4347826086956522,1.2999999999999998
Southern Miss,h2h,draftkings,,0.6060606060606061,-153.8461538
Coastal Carolina,spreads,draftkings,3.5,0.5405405405405405,-117.6470588
Southern Miss,spreads,draftkings,-3.5,0.5050505050505051,-102.0408163
Over,totals,draftkings,140.5,0.5291005291005292,-112.3595506
Under,totals,draftkings,140.5,0.5181347150259068,-107.5268817
Coastal Carolina,h2h,betmgm,,0.4444444444444444,1.25
Southern Miss,h2h,betmgm,,0.6060606060606061,-153.8461538
Coastal Carolina,spreads,betmgm,3.5,0.534759358,-114.9425287
Southern Miss,spreads,betmgm,-3.5,0.5128205128205129,-105.2631579
Over,totals,betmgm,140.5,0.5235602094240838,-109.8901099
Under,totals,betmgm,140.5,0.5235602094240838,-109.8901099
Georgia,h2h,fanduel,,0.5235602094240838,-109.8901099
South Carolina,h2h,fanduel,,0.5235602094240838,-109.8901099
Georgia,spreads,fanduel,1.5,0.5464480874316939,-120.4819277
South Carolina,spreads,fanduel,-1.5,0.5050505050505051,-102.0408163
Over,totals,fanduel,137.5,0.5181347150259068,-107.5268817
Under,totals,fanduel,137.5,0.5291005291005292,-112.3595506
Georgia,h2h,draftkings,,0.5235602094240838,-109.8901099
South Carolina,h2h,draftkings,,0.5235602094240838,-109.8901099
Georgia,spreads,draftkings,1,0.5405405405405405,-117.6470588
South Carolina,spreads,draftkings,-1,0.5050505050505051,-102.0408163
Over,totals,draftkings,137.5,0.534759358,-114.9425287
Under,totals,draftkings,137.5,0.5128205128205129,-105.2631579
Georgia,h2h,betmgm,,0.5235602094240838,-109.8901099
South Carolina,h2h,betmgm,,0.5235602094240838,-109.8901099
Georgia,spreads,betmgm,-1.5,0.48780487804878053,1.0499999999999998
South Carolina,spreads,betmgm,1.5,0.5649717514124294,-129.8701299
Over,totals,betmgm,138.5,0.5235602094240838,-109.8901099
Under,totals,betmgm,138.5,0.5235602094240838,-109.8901099
Maine,h2h,fanduel,,0.5780346820809249,-136.9863014
UMass Lowell,h2h,fanduel,,0.4672897196261682,1.1400000000000001
Maine,spreads,fanduel,-2.5,0.5154639175257733,-106.3829787
UMass Lowell,spreads,fanduel,2.5,0.5319148936170213,-113.6363636
Over,totals,fanduel,145.5,0.5128205128205129,-105.2631579
Under,totals,fanduel,145.5,0.534759358,-114.9425287
Maine,h2h,draftkings,,0.5747126436781609,-135.1351351
UMass Lowell,h2h,draftkings,,0.4672897196261682,1.1400000000000001
Maine,spreads,draftkings,-2.5,0.5181347150259068,-107.5268817
UMass Lowell,spreads,draftkings,2.5,0.5291005291005292,-112.3595506
Over,totals,draftkings,144.5,0.5291005291005292,-112.3595506
Under,totals,draftkings,144.5,0.5181347150259068,-107.5268817
Maine,h2h,betmgm,,0.591715976,-144.9275362
