Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Davidson,spreads,betonlineag,-5.5,0.53475935828877,-114.94252873563217
Richmond,spreads,betonlineag,5.5,0.5128205128205129,-105.26315789473685
Davidson,spreads,lowvig,-5.5,0.5263157894736842,-111.11111111111113
Richmond,spreads,lowvig,5.5,0.5025125628140703,-101.01010101010101
Davidson,spreads,betrivers,-6.0,0.5319148936170213,-113.63636363636365
Richmond,spreads,betrivers,6.0,0.5181347150259068,-107.52688172043011
Davidson,spreads,betmgm,-6.5,0.5128205128205129,-105.26315789473685
Richmond,spreads,betmgm,6.5,0.53475935828877,-114.94252873563217
Davidson,spreads,mybookieag,-6.0,0.5235602094240838,-109.8901098901099
Richmond,spreads,mybookieag,6.0,0.5235602094240838,-109.8901098901099
Davidson,spreads,draftkings,-6.5,0.5050505050505051,-102.04081632653062
Richmond,spreads,draftkings,6.5,0.5405405405405405,-117.6470588235294
Davidson,spreads,fanduel,-5.5,0.5235602094240838,-109.8901098901099
Richmond,spreads,fanduel,5.5,0.5235602094240838,-109.8901098901099
Davidson,spreads,bovada,-5.5,0.53475935828877,-114.94252873563217
Richmond,spreads,bovada,5.5,0.5128205128205129,-105.26315789473685
Davidson,spreads,betus,-6.0,0.5235602094240838,-109.8901098901099
Richmond,spreads,betus,6.0,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,betonlineag,-1.0,0.5319148936170213,-113.63636363636365
Virginia,spreads,betonlineag,1.0,0.5181347150259068,-107.52688172043011
Georgia Tech,spreads,lowvig,-1.0,0.5208333333333334,-108.69565217391305
Virginia,spreads,lowvig,1.0,0.5076142131979695,-103.09278350515464
Georgia Tech,spreads,draftkings,-1.5,0.5235602094240838,-109.8901098901099
Virginia,spreads,draftkings,1.5,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,mybookieag,-1.0,0.5235602094240838,-109.8901098901099
Virginia,spreads,mybookieag,1.0,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,betmgm,-1.5,0.5128205128205129,-105.26315789473685
Virginia,spreads,betmgm,1.5,0.53475935828877,-114.94252873563217
Georgia Tech,spreads,betrivers,-1.0,0.5181347150259068,-107.52688172043011
Virginia,spreads,betrivers,1.0,0.5319148936170213,-113.63636363636365
Georgia Tech,spreads,fanduel,-1.5,0.5128205128205129,-105.26315789473685
Virginia,spreads,fanduel,1.5,0.53475935828877,-114.94252873563217
Georgia Tech,spreads,bovada,-1.0,0.53475935828877,-114.94252873563217
Virginia,spreads,bovada,1.0,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,betus,0.0,0.5235602094240838,-109.8901098901099
Virginia,spreads,betus,0.0,0.5235602094240838,-109.8901098901099
Cincinnati,spreads,draftkings,9.5,0.5291005291005292,-112.35955056179776
Iowa St.,spreads,draftkings,-9.5,0.5181347150259068,-107.52688172043011
