Home,Away,Home_Advantage
Illinois,Purdue,3
VCU,Dayton,3
New Mexico,UNLV,3
Boise St.,Colorado St.,3
Memphis,South Florida,3
Southern Illinois,Drake,0
High Point,Gardner Webb,0
Murray St.,Bradley,0
Akron,Buffalo,3
South Dakota,North Dakota St.,0
Valparaiso,Northern Iowa,0
South Dakota St.,North Dakota,0
Kent St.,Eastern Michigan,3
Illinois St.,Belmont,0
San Diego,Loyola Marymount,0
Old Dominion,Appalachian St.,0
Miami OH,Ball St.,3
Radford,Presbyterian,0
Toledo,Ohio,3
Marshall,Georgia St.,0
Winthrop,Longwood,0
Southeast Missouri St.,Little Rock,0
Central Michigan,Northern Illinois,3
Portland,Pepperdine,0
UNC Asheville,Charleston Southern,0
North Carolina A&T,Hofstra,0
Tennessee St.,SIU Edwardsville,0
Stony Brook,Delaware,0
Bowling Green,Western Michigan,3
Western Carolina,Mercer,0
VMI,The Citadel,0
