Home,Away
Iowa,Michigan St.
UC San Diego,Long Beach St.
North Texas,Charlotte
Middle Tennessee,Liberty
UC Davis,UC Irvine
Grand Canyon,Utah Tech
Lipscomb,Queens
UAB,Florida Atlantic
Louisiana Tech,New Mexico St.
North Alabama,Jacksonville
UC Riverside,Cal St. Northridge
Abilene Christian,Utah Valley
Rice,Wichita St.
Southern Utah,Seattle
East Carolina,Tulane
Milwaukee,Oakland
Robert Morris,Wright St.
Cleveland St.,Northern Kentucky
Howard,Norfolk St.
Quinnipiac,Mount St. Mary's
South Carolina St.,North Carolina Central
Marist,Merrimack
Cal Poly,Cal St. Fullerton
Southern,Alabama St.
Cal St. Bakersfield,Hawaii
Bucknell,Loyola MD
Manhattan,Sacred Heart
American,Lafayette
Siena,Fairfield
Arkansas Pine Bluff,Jackson St.
Colgate,Army
Saint Peter's,Niagara
Boston University,Navy
Mississippi Valley St.,Alcorn St.
Delaware St.,Maryland Eastern Shore
Rider,Canisius
Grambling St.,Alabama A&M
Coppin St.,Morgan St.
