Home,Away
Michigan St.,Wisconsin
Michigan,Illinois
UAB,Memphis
Drake,Missouri St.
Liberty,Kennesaw St.
Kansas St.,Colorado
Bradley,Northern Iowa
South Florida,Florida Atlantic
Illinois St.,Evansville
Cornell,Princeton
Belmont,Murray St.
UTSA,Rice
Illinois Chicago,Valparaiso
Indiana St.,Southern Illinois
East Carolina,Charlotte
Merrimack,Quinnipiac
Marist,Saint Peter's
Sacred Heart,Fairfield
Mount St. Mary's,Siena
Canisius,Iona
Niagara,Manhattan
