Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Pacific,spreads,fanduel,1.5,0.5319148936170213,-113.63636363636365
San Diego,spreads,fanduel,-1.5,0.5319148936170213,-113.63636363636365
Pacific,spreads,mybookieag,0.5,0.5555555555555556,-125.0
San Diego,spreads,mybookieag,-0.5,0.5263157894736842,-111.11111111111113
Pacific,spreads,betrivers,1.0,0.5524861878453039,-123.45679012345678
San Diego,spreads,betrivers,-1.0,0.53475935828877,-114.94252873563217
Pacific,spreads,draftkings,1.5,0.591715976331361,-144.92753623188406
San Diego,spreads,draftkings,-1.5,0.4672897196261682,1.1400000000000001
Pacific,spreads,betmgm,1.5,0.5847953216374269,-140.84507042253523
San Diego,spreads,betmgm,-1.5,0.48780487804878053,1.0499999999999998
Pacific,spreads,bovada,2.5,0.5555555555555556,-125.0
San Diego,spreads,bovada,-2.5,0.5128205128205129,-105.26315789473685
Georgia Southern,spreads,fanduel,5.5,0.5494505494505494,-121.95121951219511
Georgia St.,spreads,fanduel,-5.5,0.5181347150259068,-107.52688172043011
Georgia Southern,spreads,draftkings,4.5,0.53475935828877,-114.94252873563217
Georgia St.,spreads,draftkings,-4.5,0.53475935828877,-114.94252873563217
Georgia Southern,spreads,betmgm,5.5,0.5555555555555556,-125.0
Georgia St.,spreads,betmgm,-5.5,0.5128205128205129,-105.26315789473685
Georgia Southern,spreads,betrivers,4.5,0.5208333333333334,-108.69565217391305
Georgia St.,spreads,betrivers,-4.5,0.5714285714285714,-133.33333333333334
Georgia Southern,spreads,mybookieag,5.5,0.5555555555555556,-125.0
Georgia St.,spreads,mybookieag,-5.5,0.5263157894736842,-111.11111111111113
Georgia Southern,spreads,bovada,5.5,0.5555555555555556,-125.0
Georgia St.,spreads,bovada,-5.5,0.5128205128205129,-105.26315789473685
Arkansas-Little Rock,spreads,fanduel,-4.5,0.5494505494505494,-121.95121951219511
Tenn-Martin,spreads,fanduel,4.5,0.5181347150259068,-107.52688172043011
Arkansas-Little Rock,spreads,mybookieag,-5.0,0.5235602094240838,-109.8901098901099
Tenn-Martin,spreads,mybookieag,5.0,0.5235602094240838,-109.8901098901099
Arkansas-Little Rock,spreads,betonlineag,-5.0,0.5464480874316939,-120.48192771084337
Tenn-Martin,spreads,betonlineag,5.0,0.5,1.0
Arkansas-Little Rock,spreads,lowvig,-5.0,0.5376344086021505,-116.27906976744185
Tenn-Martin,spreads,lowvig,5.0,0.49019607843137253,1.04
Arkansas-Little Rock,spreads,draftkings,-4.5,0.5235602094240838,-109.8901098901099
Tenn-Martin,spreads,draftkings,4.5,0.5464480874316939,-120.48192771084337
Arkansas-Little Rock,spreads,betmgm,-4.5,0.5555555555555556,-125.0
Tenn-Martin,spreads,betmgm,4.5,0.5128205128205129,-105.26315789473685
Arkansas-Little Rock,spreads,betrivers,-5.5,0.5464480874316939,-120.48192771084337
Tenn-Martin,spreads,betrivers,5.5,0.5464480874316939,-120.48192771084337
Arkansas-Little Rock,spreads,betus,-5.0,0.5376344086021505,-116.27906976744185
Tenn-Martin,spreads,betus,5.0,0.5102040816326531,-104.16666666666667
Arkansas-Little Rock,spreads,bovada,-5.5,0.48780487804878053,1.0499999999999998
Tenn-Martin,spreads,bovada,5.5,0.5747126436781609,-135.13513513513513
Army,spreads,fanduel,8.5,0.5319148936170213,-113.63636363636365
Colgate,spreads,fanduel,-8.5,0.5319148936170213,-113.63636363636365
Army,spreads,mybookieag,7.0,0.5235602094240838,-109.8901098901099
Colgate,spreads,mybookieag,-7.0,0.5235602094240838,-109.8901098901099
Army,spreads,lowvig,7.0,0.5376344086021505,-116.27906976744185
Colgate,spreads,lowvig,-7.0,0.49019607843137253,1.04
Army,spreads,betonlineag,7.0,0.5464480874316939,-120.48192771084337
Colgate,spreads,betonlineag,-7.0,0.5,1.0
Army,spreads,draftkings,9.5,0.53475935828877,-114.94252873563217
Colgate,spreads,draftkings,-9.5,0.53475935828877,-114.94252873563217
Army,spreads,betmgm,7.5,0.5128205128205129,-105.26315789473685
Colgate,spreads,betmgm,-7.5,0.5555555555555556,-125.0
Army,spreads,betrivers,9.5,0.5524861878453039,-123.45679012345678
Colgate,spreads,betrivers,-9.5,0.5405405405405405,-117.6470588235294
Army,spreads,bovada,7.5,0.53475935828877,-114.94252873563217
Colgate,spreads,bovada,-7.5,0.53475935828877,-114.94252873563217
Boston Univ.,spreads,fanduel,-3.5,0.5291005291005292,-112.35955056179776
Navy,spreads,fanduel,3.5,0.5405405405405405,-117.6470588235294
Boston Univ.,spreads,mybookieag,-3.5,0.5235602094240838,-109.8901098901099
Navy,spreads,mybookieag,3.5,0.5235602094240838,-109.8901098901099
Boston Univ.,spreads,lowvig,-3.0,0.5263157894736842,-111.11111111111113
Navy,spreads,lowvig,3.0,0.5025125628140703,-101.01010101010101
Boston Univ.,spreads,betonlineag,-3.0,0.53475935828877,-114.94252873563217
Navy,spreads,betonlineag,3.0,0.5128205128205129,-105.26315789473685
Boston Univ.,spreads,draftkings,-2.5,0.53475935828877,-114.94252873563217
Navy,spreads,draftkings,2.5,0.53475935828877,-114.94252873563217
Boston Univ.,spreads,betmgm,-3.5,0.53475935828877,-114.94252873563217
Navy,spreads,betmgm,3.5,0.53475935828877,-114.94252873563217
Boston Univ.,spreads,betrivers,-3.5,0.5494505494505494,-121.95121951219511
Navy,spreads,betrivers,3.5,0.5464480874316939,-120.48192771084337
Boston Univ.,spreads,bovada,-1.5,0.5747126436781609,-135.13513513513513
Navy,spreads,bovada,1.5,0.48780487804878053,1.0499999999999998
Bucknell,spreads,fanduel,-14.5,0.5181347150259068,-107.52688172043011
Loyola (MD),spreads,fanduel,14.5,0.5494505494505494,-121.95121951219511
Bucknell,spreads,mybookieag,-9.0,0.5235602094240838,-109.8901098901099
Loyola (MD),spreads,mybookieag,9.0,0.5235602094240838,-109.8901098901099
Bucknell,spreads,betonlineag,-9.0,0.5319148936170213,-113.63636363636365
Loyola (MD),spreads,betonlineag,9.0,0.5181347150259068,-107.52688172043011
Bucknell,spreads,lowvig,-9.0,0.5208333333333334,-108.69565217391305
Loyola (MD),spreads,lowvig,9.0,0.5076142131979695,-103.09278350515464
Bucknell,spreads,draftkings,-13.5,0.5464480874316939,-120.48192771084337
Loyola (MD),spreads,draftkings,13.5,0.5235602094240838,-109.8901098901099
Bucknell,spreads,betmgm,-13.5,0.5128205128205129,-105.26315789473685
Loyola (MD),spreads,betmgm,13.5,0.5555555555555556,-125.0
Bucknell,spreads,betrivers,-14.5,0.5319148936170213,-113.63636363636365
Loyola (MD),spreads,betrivers,14.5,0.5649717514124294,-129.87012987012986
Bucknell,spreads,bovada,-12.5,0.5555555555555556,-125.0
Loyola (MD),spreads,bovada,12.5,0.5128205128205129,-105.26315789473685
Canisius Golden,spreads,betonlineag,10.5,0.5235602094240838,-109.8901098901099
Rider,spreads,betonlineag,-10.5,0.5235602094240838,-109.8901098901099
Canisius Golden,spreads,lowvig,10.5,0.5154639175257733,-106.38297872340426
