Home,Away
Loyola Marymount,Saint Mary's
Michigan,Rutgers
Cal St. Northridge,UC San Diego
Florida Atlantic,North Texas
Liberty,Jacksonville St.
Cal St. Fullerton,UC Irvine
Grand Canyon,UT Arlington
Washington St.,San Diego
Wichita St.,UAB
Oral Roberts,South Dakota St.
St. Thomas,North Dakota
UTEP,Western Kentucky
VMI,Samford
New Mexico St.,Middle Tennessee
Campbell,UNC Wilmington
FIU,Kennesaw St.
UNC Greensboro,Chattanooga
Seattle,Cal Baptist
UC Santa Barbara,Cal Poly
Milwaukee,Oakland
Sacramento St.,Montana
Purdue Fort Wayne,Northern Kentucky
Hawaii,UC Riverside
Charleston,Delaware
UMass Lowell,Bryant
IU Indy,Robert Morris
Towson,William & Mary
Monmouth,Elon
Central Connecticut,Le Moyne
Portland St.,Montana St.
Wright St.,Cleveland St.
Northeastern,North Carolina A&T
Drexel,Hampton
Longwood,Winthrop
Tarleton St.,Abilene Christian
SIU Edwardsville,Southeast Missouri St.
Portland,Pepperdine
Idaho,Idaho St.
NJIT,Vermont
Stony Brook,Hofstra
New Hampshire,Maine
Eastern Illinois,Little Rock
Tennessee St.,Morehead St.
UMKC,Denver
Long Beach St.,Cal St. Bakersfield
Eastern Washington,Weber St.
Tennessee Tech,Western Illinois
Tennessee Martin,Southern Indiana
Utah Tech,Southern Utah
UMBC,Albany
LIU,Wagner
Fairleigh Dickinson,Stonehill
Green Bay,Detroit Mercy
Mercyhurst,Chicago St.
