Home,Away
Texas Tech,Houston
Colorado,Kansas
Nebraska,Michigan
Florida St.,North Carolina
McNeese St.,UT Rio Grande Valley
Austin Peay,Lipscomb
Central Arkansas,North Alabama
William & Mary,UNC Wilmington
Nicholls St.,Texas A&M Corpus Chris
Florida Gulf Coast,North Florida
Incarnate Word,Lamar
Norfolk St.,Morgan St.
Jacksonville,Eastern Kentucky
Southeastern Louisiana,Northwestern St.
Monmouth,Northeastern
Maryland Eastern Shore,South Carolina St.
West Georgia,Queens
Hampton,Stony Brook
Houston Christian,Stephen F. Austin
Coppin St.,Howard
Alabama St.,Bethune Cookman
Texas Southern,Arkansas Pine Bluff
Delaware St.,North Carolina Central
Alabama A&M,Florida A&M
New Orleans,Texas A&M Commerce
Stetson,Bellarmine
Prairie View A&M,Mississippi Valley St.
