Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Georgia Southern,h2h,fanduel,,0.6756756756756757,-208.3333333
Southern Miss,h2h,fanduel,,0.3676470588235294,1.7200000000000002
Georgia Southern,spreads,fanduel,-5.5,0.5050505050505051,-102.0408163
Southern Miss,spreads,fanduel,5.5,0.5464480874316939,-120.4819277
Over,totals,fanduel,148.5,0.534759358,-114.9425287
Under,totals,fanduel,148.5,0.5128205128205129,-105.2631579
Georgia Southern,h2h,betonlineag,,0.6802721088435374,-212.7659574
Southern Miss,h2h,betonlineag,,0.3508771929824561,1.85
Georgia Southern,spreads,betonlineag,-5.5,0.5128205128205129,-105.2631579
Southern Miss,spreads,betonlineag,5.5,0.534759358,-114.9425287
Over,totals,betonlineag,148,0.534759358,-114.9425287
Under,totals,betonlineag,148,0.5128205128205129,-105.2631579
Georgia Southern,h2h,lowvig,,0.6802721088435374,-212.7659574
Southern Miss,h2h,lowvig,,0.3508771929824561,1.85
Georgia Southern,spreads,lowvig,-5.5,0.5025125628140703,-101.010101
Southern Miss,spreads,lowvig,5.5,0.5263157894736842,-111.1111111
Over,totals,lowvig,148,0.5319148936170213,-113.6363636
Under,totals,lowvig,148,0.5076142131979695,-103.0927835
Georgia Southern,h2h,mybookieag,,0.6993006993006994,-232.5581395
Southern Miss,h2h,mybookieag,,0.3484320557491289,1.87
Georgia Southern,spreads,mybookieag,-5.5,0.5235602094240838,-109.8901099
Southern Miss,spreads,mybookieag,5.5,0.5235602094240838,-109.8901099
Over,totals,mybookieag,148.5,0.5235602094240838,-109.8901099
Under,totals,mybookieag,148.5,0.5235602094240838,-109.8901099
Georgia Southern,h2h,draftkings,,0.6944444444444444,-227.2727273
Southern Miss,h2h,draftkings,,0.3508771929824561,1.85
Georgia Southern,spreads,draftkings,-5.5,0.5181347150259068,-107.5268817
Southern Miss,spreads,draftkings,5.5,0.5291005291005292,-112.3595506
Over,totals,draftkings,148.5,0.5235602094240838,-109.8901099
Under,totals,draftkings,148.5,0.5235602094240838,-109.8901099
Georgia Southern,h2h,betmgm,,0.6944444444444444,-227.2727273
Southern Miss,h2h,betmgm,,0.3508771929824561,1.85
Georgia Southern,spreads,betmgm,-5.5,0.5235602094240838,-109.8901099
Southern Miss,spreads,betmgm,5.5,0.5235602094240838,-109.8901099
Over,totals,betmgm,148.5,0.5235602094240838,-109.8901099
Under,totals,betmgm,148.5,0.5235602094240838,-109.8901099
Georgia Southern,h2h,betrivers,,0.7092198581560284,-243.902439
Southern Miss,h2h,betrivers,,0.3448275862068966,1.9
Georgia Southern,spreads,betrivers,-6,0.5235602094240838,-109.8901099
Southern Miss,spreads,betrivers,6,0.5235602094240838,-109.8901099
Over,totals,betrivers,148.5,0.5319148936170213,-113.6363636
Under,totals,betrivers,148.5,0.5181347150259068,-107.5268817
Georgia Southern,h2h,betus,,0.6802721088435374,-212.7659574
Southern Miss,h2h,betus,,0.35335689045936397,1.83
Georgia Southern,spreads,betus,-5.5,0.5235602094240838,-109.8901099
Southern Miss,spreads,betus,5.5,0.5235602094240838,-109.8901099
Over,totals,betus,148.5,0.5235602094240838,-109.8901099
Under,totals,betus,148.5,0.5235602094240838,-109.8901099
Georgia Southern,h2h,bovada,,0.6944444444444444,-227.2727273
Southern Miss,h2h,bovada,,0.3508771929824561,1.85
Georgia Southern,spreads,bovada,-5.5,0.5128205128205129,-105.2631579
Southern Miss,spreads,bovada,5.5,0.534759358,-114.9425287
Over,totals,bovada,148.5,0.5235602094240838,-109.8901099
Under,totals,bovada,148.5,0.5235602094240838,-109.8901099
DePaul,h2h,betonlineag,,0.273972603,2.65
Providence,h2h,betonlineag,,0.7575757575757576,-312.5
DePaul,spreads,betonlineag,7.5,0.5235602094240838,-109.8901099
Providence,spreads,betonlineag,-7.5,0.5235602094240838,-109.8901099
Over,totals,betonlineag,144.5,0.5235602094240838,-109.8901099
Under,totals,betonlineag,144.5,0.5235602094240838,-109.8901099
DePaul,h2h,lowvig,,0.273972603,2.65
Providence,h2h,lowvig,,0.7575757575757576,-312.5
DePaul,spreads,lowvig,7.5,0.5154639175257733,-106.3829787
Providence,spreads,lowvig,-7.5,0.5154639175257733,-106.3829787
Over,totals,lowvig,144.5,0.5181347150259068,-107.5268817
Under,totals,lowvig,144.5,0.5181347150259068,-107.5268817
DePaul,h2h,draftkings,,0.27027027027027023,2.7
