Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Akron,spreads,betonlineag,-11.5,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,betonlineag,11.5,0.5235602094240838,-109.8901098901099
Akron,spreads,lowvig,-11.5,0.5154639175257733,-106.38297872340426
Bowling Green,spreads,lowvig,11.5,0.5154639175257733,-106.38297872340426
Akron,spreads,draftkings,-11.5,0.53475935828877,-114.94252873563217
Bowling Green,spreads,draftkings,11.5,0.5128205128205129,-105.26315789473685
Akron,spreads,betmgm,-11.5,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,betmgm,11.5,0.5235602094240838,-109.8901098901099
Akron,spreads,mybookieag,-12.0,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,mybookieag,12.0,0.5235602094240838,-109.8901098901099
Akron,spreads,bovada,-11.5,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,bovada,11.5,0.5235602094240838,-109.8901098901099
Akron,spreads,betrivers,-12.0,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,betrivers,12.0,0.5235602094240838,-109.8901098901099
Akron,spreads,fanduel,-11.5,0.53475935828877,-114.94252873563217
Bowling Green,spreads,fanduel,11.5,0.5128205128205129,-105.26315789473685
Akron,spreads,betus,-11.5,0.5235602094240838,-109.8901098901099
Bowling Green,spreads,betus,11.5,0.5235602094240838,-109.8901098901099
Duquesne,spreads,betonlineag,2.0,0.49504950495049505,1.02
St.. Bonaventure,spreads,betonlineag,-2.0,0.5494505494505494,-121.95121951219511
Duquesne,spreads,lowvig,2.0,0.49751243781094534,1.0099999999999998
St.. Bonaventure,spreads,lowvig,-2.0,0.5319148936170213,-113.63636363636365
Duquesne,spreads,draftkings,2.5,0.5405405405405405,-117.6470588235294
St.. Bonaventure,spreads,draftkings,-2.5,0.5050505050505051,-102.04081632653062
Duquesne,spreads,betmgm,2.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betmgm,-2.5,0.5235602094240838,-109.8901098901099
Duquesne,spreads,mybookieag,2.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,mybookieag,-2.5,0.5235602094240838,-109.8901098901099
Duquesne,spreads,bovada,2.5,0.53475935828877,-114.94252873563217
St.. Bonaventure,spreads,bovada,-2.5,0.5128205128205129,-105.26315789473685
Duquesne,spreads,fanduel,1.5,0.5050505050505051,-102.04081632653062
St.. Bonaventure,spreads,fanduel,-1.5,0.5464480874316939,-120.48192771084337
Duquesne,spreads,betus,2.5,0.53475935828877,-114.94252873563217
St.. Bonaventure,spreads,betus,-2.5,0.5128205128205129,-105.26315789473685
Duquesne,spreads,betrivers,2.5,0.5319148936170213,-113.63636363636365
St.. Bonaventure,spreads,betrivers,-2.5,0.5181347150259068,-107.52688172043011
Butler,spreads,draftkings,12.5,0.5181347150259068,-107.52688172043011
St.. John's Red,spreads,draftkings,-12.5,0.5291005291005292,-112.35955056179776
Butler,spreads,fanduel,12.5,0.5235602094240838,-109.8901098901099
St.. John's Red,spreads,fanduel,-12.5,0.5235602094240838,-109.8901098901099
Butler,spreads,mybookieag,13.0,0.5235602094240838,-109.8901098901099
St.. John's Red,spreads,mybookieag,-13.0,0.5235602094240838,-109.8901098901099
Butler,spreads,betonlineag,12.5,0.5405405405405405,-117.6470588235294
St.. John's Red,spreads,betonlineag,-12.5,0.5076142131979695,-103.09278350515464
Butler,spreads,lowvig,12.5,0.5319148936170213,-113.63636363636365
St.. John's Red,spreads,lowvig,-12.5,0.49751243781094534,1.0099999999999998
Butler,spreads,betus,12.5,0.5235602094240838,-109.8901098901099
St.. John's Red,spreads,betus,-12.5,0.5235602094240838,-109.8901098901099
Butler,spreads,betrivers,13.0,0.5291005291005292,-112.35955056179776
St.. John's Red,spreads,betrivers,-13.0,0.5208333333333334,-108.69565217391305
Butler,spreads,bovada,12.5,0.5235602094240838,-109.8901098901099
St.. John's Red,spreads,bovada,-12.5,0.5235602094240838,-109.8901098901099
Duke,spreads,draftkings,-22.5,0.5405405405405405,-117.6470588235294
Georgia Tech,spreads,draftkings,22.5,0.5050505050505051,-102.04081632653062
Duke,spreads,fanduel,-22.5,0.5319148936170213,-113.63636363636365
Georgia Tech,spreads,fanduel,22.5,0.5154639175257733,-106.38297872340426
Duke,spreads,lowvig,-22.5,0.5434782608695652,-119.04761904761904
Georgia Tech,spreads,lowvig,22.5,0.48309178743961356,1.0699999999999998
Duke,spreads,betonlineag,-22.5,0.5524861878453039,-123.45679012345678
Georgia Tech,spreads,betonlineag,22.5,0.4926108374384237,1.0299999999999998
Duke,spreads,mybookieag,-22.5,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,mybookieag,22.5,0.5235602094240838,-109.8901098901099
Duke,spreads,betrivers,-23.0,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,betrivers,23.0,0.5235602094240838,-109.8901098901099
Duke,spreads,betus,-23.0,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,betus,23.0,0.53475935828877,-114.94252873563217
Duke,spreads,betmgm,-22.5,0.53475935828877,-114.94252873563217
Georgia Tech,spreads,betmgm,22.5,0.5128205128205129,-105.26315789473685
Duke,spreads,bovada,-23.0,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,bovada,23.0,0.53475935828877,-114.94252873563217
Indiana,spreads,betonlineag,2.5,0.5319148936170213,-113.63636363636365
Oregon,spreads,betonlineag,-2.5,0.5181347150259068,-107.52688172043011
Indiana,spreads,lowvig,2.5,0.5208333333333334,-108.69565217391305
Oregon,spreads,lowvig,-2.5,0.5076142131979695,-103.09278350515464
Indiana,spreads,draftkings,2.5,0.5181347150259068,-107.52688172043011
Oregon,spreads,draftkings,-2.5,0.5291005291005292,-112.35955056179776
Indiana,spreads,betrivers,2.5,0.5208333333333334,-108.69565217391305
Oregon,spreads,betrivers,-2.5,0.5291005291005292,-112.35955056179776
Indiana,spreads,betmgm,2.5,0.5235602094240838,-109.8901098901099
Oregon,spreads,betmgm,-2.5,0.5235602094240838,-109.8901098901099
Indiana,spreads,fanduel,2.5,0.5181347150259068,-107.52688172043011
Oregon,spreads,fanduel,-2.5,0.5291005291005292,-112.35955056179776
Indiana,spreads,mybookieag,2.5,0.5235602094240838,-109.8901098901099
Oregon,spreads,mybookieag,-2.5,0.5235602094240838,-109.8901098901099
Indiana,spreads,bovada,2.5,0.53475935828877,-114.94252873563217
Oregon,spreads,bovada,-2.5,0.5128205128205129,-105.26315789473685
Indiana,spreads,betus,2.5,0.5235602094240838,-109.8901098901099
Oregon,spreads,betus,-2.5,0.5235602094240838,-109.8901098901099
BYU,spreads,draftkings,3.5,0.53475935828877,-114.94252873563217
Iowa St.,spreads,draftkings,-3.5,0.5128205128205129,-105.26315789473685
BYU,spreads,fanduel,3.5,0.5128205128205129,-105.26315789473685
Iowa St.,spreads,fanduel,-3.5,0.53475935828877,-114.94252873563217
BYU,spreads,betonlineag,3.0,0.53475935828877,-114.94252873563217
Iowa St.,spreads,betonlineag,-3.0,0.5128205128205129,-105.26315789473685
BYU,spreads,lowvig,3.0,0.5263157894736842,-111.11111111111113
Iowa St.,spreads,lowvig,-3.0,0.5025125628140703,-101.01010101010101
BYU,spreads,mybookieag,3.0,0.5235602094240838,-109.8901098901099
Iowa St.,spreads,mybookieag,-3.0,0.5235602094240838,-109.8901098901099
BYU,spreads,betrivers,3.5,0.53475935828877,-114.94252873563217
Iowa St.,spreads,betrivers,-3.5,0.5154639175257733,-106.38297872340426
BYU,spreads,betus,3.0,0.5235602094240838,-109.8901098901099
Iowa St.,spreads,betus,-3.0,0.5235602094240838,-109.8901098901099
BYU,spreads,betmgm,2.5,0.5050505050505051,-102.04081632653062
Iowa St.,spreads,betmgm,-2.5,0.5405405405405405,-117.6470588235294
BYU,spreads,bovada,3.0,0.5235602094240838,-109.8901098901099
Iowa St.,spreads,bovada,-3.0,0.5235602094240838,-109.8901098901099
South Florida,spreads,betonlineag,3.5,0.5319148936170213,-113.63636363636365
Wichita St.,spreads,betonlineag,-3.5,0.5181347150259068,-107.52688172043011
South Florida,spreads,lowvig,3.5,0.5208333333333334,-108.69565217391305
Wichita St.,spreads,lowvig,-3.5,0.5076142131979695,-103.09278350515464
South Florida,spreads,draftkings,3.5,0.5291005291005292,-112.35955056179776
Wichita St.,spreads,draftkings,-3.5,0.5181347150259068,-107.52688172043011
South Florida,spreads,betmgm,3.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betmgm,-3.5,0.5235602094240838,-109.8901098901099
South Florida,spreads,mybookieag,3.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,mybookieag,-3.5,0.5235602094240838,-109.8901098901099
South Florida,spreads,betrivers,3.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betrivers,-3.5,0.5235602094240838,-109.8901098901099
South Florida,spreads,bovada,3.5,0.5128205128205129,-105.26315789473685
Wichita St.,spreads,bovada,-3.5,0.53475935828877,-114.94252873563217
South Florida,spreads,fanduel,3.5,0.5464480874316939,-120.48192771084337
Wichita St.,spreads,fanduel,-3.5,0.5050505050505051,-102.04081632653062
South Florida,spreads,betus,3.5,0.53475935828877,-114.94252873563217
Wichita St.,spreads,betus,-3.5,0.5128205128205129,-105.26315789473685
Arkansas,spreads,draftkings,4.5,0.53475935828877,-114.94252873563217
Ole Miss,spreads,draftkings,-4.5,0.5128205128205129,-105.26315789473685
Arkansas,spreads,fanduel,3.5,0.5050505050505051,-102.04081632653062
Ole Miss,spreads,fanduel,-3.5,0.5464480874316939,-120.48192771084337
Arkansas,spreads,lowvig,4.0,0.5154639175257733,-106.38297872340426
Ole Miss,spreads,lowvig,-4.0,0.5154639175257733,-106.38297872340426
Arkansas,spreads,betonlineag,4.0,0.5235602094240838,-109.8901098901099
Ole Miss,spreads,betonlineag,-4.0,0.5235602094240838,-109.8901098901099
Arkansas,spreads,mybookieag,4.5,0.5235602094240838,-109.8901098901099
Ole Miss,spreads,mybookieag,-4.5,0.5235602094240838,-109.8901098901099
Arkansas,spreads,betrivers,4.5,0.5208333333333334,-108.69565217391305
Ole Miss,spreads,betrivers,-4.5,0.5291005291005292,-112.35955056179776
Arkansas,spreads,betus,4.0,0.5235602094240838,-109.8901098901099
Ole Miss,spreads,betus,-4.0,0.5235602094240838,-109.8901098901099
Arkansas,spreads,betmgm,4.5,0.53475935828877,-114.94252873563217
Ole Miss,spreads,betmgm,-4.5,0.5128205128205129,-105.26315789473685
Arkansas,spreads,bovada,4.5,0.53475935828877,-114.94252873563217
Ole Miss,spreads,bovada,-4.5,0.5128205128205129,-105.26315789473685
Ohio,spreads,betonlineag,-2.5,0.53475935828877,-114.94252873563217
Toledo,spreads,betonlineag,2.5,0.5128205128205129,-105.26315789473685
Ohio,spreads,lowvig,-2.5,0.5263157894736842,-111.11111111111113
Toledo,spreads,lowvig,2.5,0.5025125628140703,-101.01010101010101
Ohio,spreads,draftkings,-2.5,0.5464480874316939,-120.48192771084337
Toledo,spreads,draftkings,2.5,0.5,1.0
Ohio,spreads,betmgm,-2.5,0.53475935828877,-114.94252873563217
Toledo,spreads,betmgm,2.5,0.5128205128205129,-105.26315789473685
Ohio,spreads,mybookieag,-3.0,0.5235602094240838,-109.8901098901099
Toledo,spreads,mybookieag,3.0,0.5235602094240838,-109.8901098901099
Ohio,spreads,betrivers,-2.5,0.5319148936170213,-113.63636363636365
Toledo,spreads,betrivers,2.5,0.5181347150259068,-107.52688172043011
Ohio,spreads,bovada,-3.0,0.5235602094240838,-109.8901098901099
Toledo,spreads,bovada,3.0,0.5235602094240838,-109.8901098901099
Ohio,spreads,fanduel,-2.5,0.53475935828877,-114.94252873563217
Toledo,spreads,fanduel,2.5,0.5128205128205129,-105.26315789473685
Ohio,spreads,betus,-2.5,0.53475935828877,-114.94252873563217
Toledo,spreads,betus,2.5,0.5128205128205129,-105.26315789473685
Alabama St.,spreads,betonlineag,-1.0,0.5464480874316939,-120.48192771084337
Texas Southern,spreads,betonlineag,1.0,0.5,1.0
Alabama St.,spreads,lowvig,-1.0,0.5376344086021505,-116.27906976744185
Texas Southern,spreads,lowvig,1.0,0.49019607843137253,1.04
Alabama St.,spreads,draftkings,-1.0,0.5291005291005292,-112.35955056179776
Texas Southern,spreads,draftkings,1.0,0.5181347150259068,-107.52688172043011
Alabama St.,spreads,betmgm,-1.5,0.5235602094240838,-109.8901098901099
Texas Southern,spreads,betmgm,1.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,mybookieag,-1.0,0.5235602094240838,-109.8901098901099
Texas Southern,spreads,mybookieag,1.0,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betrivers,-2.0,0.5181347150259068,-107.52688172043011
Texas Southern,spreads,betrivers,2.0,0.5319148936170213,-113.63636363636365
Alabama St.,spreads,bovada,-2.0,0.5128205128205129,-105.26315789473685
Texas Southern,spreads,bovada,2.0,0.53475935828877,-114.94252873563217
Alabama St.,spreads,fanduel,1.5,0.5494505494505494,-121.95121951219511
Texas Southern,spreads,fanduel,-1.5,0.5,1.0
Davidson,spreads,betonlineag,4.0,0.5154639175257733,-106.38297872340426
Saint Louis,spreads,betonlineag,-4.0,0.5319148936170213,-113.63636363636365
Davidson,spreads,lowvig,4.0,0.5050505050505051,-102.04081632653062
Saint Louis,spreads,lowvig,-4.0,0.5235602094240838,-109.8901098901099
Davidson,spreads,draftkings,4.5,0.5291005291005292,-112.35955056179776
Saint Louis,spreads,draftkings,-4.5,0.5181347150259068,-107.52688172043011
Davidson,spreads,fanduel,3.5,0.5050505050505051,-102.04081632653062
Saint Louis,spreads,fanduel,-3.5,0.5464480874316939,-120.48192771084337
Davidson,spreads,mybookieag,4.0,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,mybookieag,-4.0,0.5235602094240838,-109.8901098901099
Davidson,spreads,betus,4.0,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,betus,-4.0,0.5235602094240838,-109.8901098901099
Davidson,spreads,betrivers,4.0,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,betrivers,-4.0,0.5235602094240838,-109.8901098901099
Davidson,spreads,betmgm,4.5,0.53475935828877,-114.94252873563217
Saint Louis,spreads,betmgm,-4.5,0.5128205128205129,-105.26315789473685
Davidson,spreads,bovada,4.0,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,bovada,-4.0,0.5235602094240838,-109.8901098901099
Marquette,spreads,betonlineag,-2.5,0.53475935828877,-114.94252873563217
Xavier,spreads,betonlineag,2.5,0.5128205128205129,-105.26315789473685
Marquette,spreads,lowvig,-2.5,0.5263157894736842,-111.11111111111113
Xavier,spreads,lowvig,2.5,0.5025125628140703,-101.01010101010101
Marquette,spreads,draftkings,-2.5,0.5235602094240838,-109.8901098901099
Xavier,spreads,draftkings,2.5,0.5235602094240838,-109.8901098901099
Marquette,spreads,betrivers,-2.5,0.5208333333333334,-108.69565217391305
Xavier,spreads,betrivers,2.5,0.5291005291005292,-112.35955056179776
Marquette,spreads,betmgm,-2.5,0.5235602094240838,-109.8901098901099
Xavier,spreads,betmgm,2.5,0.5235602094240838,-109.8901098901099
Marquette,spreads,fanduel,-2.5,0.53475935828877,-114.94252873563217
Xavier,spreads,fanduel,2.5,0.5128205128205129,-105.26315789473685
Marquette,spreads,mybookieag,-2.5,0.5235602094240838,-109.8901098901099
Xavier,spreads,mybookieag,2.5,0.5235602094240838,-109.8901098901099
Marquette,spreads,bovada,-2.5,0.53475935828877,-114.94252873563217
Xavier,spreads,bovada,2.5,0.5128205128205129,-105.26315789473685
Marquette,spreads,betus,-2.5,0.53475935828877,-114.94252873563217
Xavier,spreads,betus,2.5,0.5128205128205129,-105.26315789473685
North Carolina,spreads,draftkings,-5.5,0.53475935828877,-114.94252873563217
Wake Forest Demon,spreads,draftkings,5.5,0.5128205128205129,-105.26315789473685
North Carolina,spreads,lowvig,-6.0,0.5154639175257733,-106.38297872340426
Wake Forest Demon,spreads,lowvig,6.0,0.5154639175257733,-106.38297872340426
North Carolina,spreads,betonlineag,-6.0,0.5235602094240838,-109.8901098901099
Wake Forest Demon,spreads,betonlineag,6.0,0.5235602094240838,-109.8901098901099
North Carolina,spreads,mybookieag,-6.0,0.5235602094240838,-109.8901098901099
Wake Forest Demon,spreads,mybookieag,6.0,0.5235602094240838,-109.8901098901099
North Carolina,spreads,fanduel,-5.5,0.5235602094240838,-109.8901098901099
Wake Forest Demon,spreads,fanduel,5.5,0.5235602094240838,-109.8901098901099
North Carolina,spreads,betus,-6.0,0.5235602094240838,-109.8901098901099
Wake Forest Demon,spreads,betus,6.0,0.5235602094240838,-109.8901098901099
North Carolina,spreads,betrivers,-6.0,0.5181347150259068,-107.52688172043011
Wake Forest Demon,spreads,betrivers,6.0,0.5319148936170213,-113.63636363636365
North Carolina,spreads,betmgm,-5.5,0.53475935828877,-114.94252873563217
Wake Forest Demon,spreads,betmgm,5.5,0.5128205128205129,-105.26315789473685
North Carolina,spreads,bovada,-5.5,0.53475935828877,-114.94252873563217
Wake Forest Demon,spreads,bovada,5.5,0.5128205128205129,-105.26315789473685
Northwestern,spreads,draftkings,8.5,0.5181347150259068,-107.52688172043011
Wisconsin,spreads,draftkings,-8.5,0.5291005291005292,-112.35955056179776
Northwestern,spreads,fanduel,8.5,0.5235602094240838,-109.8901098901099
Wisconsin,spreads,fanduel,-8.5,0.5235602094240838,-109.8901098901099
Northwestern,spreads,mybookieag,8.5,0.5235602094240838,-109.8901098901099
Wisconsin,spreads,mybookieag,-8.5,0.5235602094240838,-109.8901098901099
Northwestern,spreads,betonlineag,8.5,0.5154639175257733,-106.38297872340426
Wisconsin,spreads,betonlineag,-8.5,0.5319148936170213,-113.63636363636365
Northwestern,spreads,lowvig,8.5,0.5050505050505051,-102.04081632653062
Wisconsin,spreads,lowvig,-8.5,0.5235602094240838,-109.8901098901099
