Home,Away,Home_Advantage
Iowa St.,Cincinnati,0
UCF,Kansas,0
Kansas St.,Baylor,0
Oklahoma,Georgia,0
West Virginia,Colorado,0
Mississippi St.,LSU,0
Ohio St.,Iowa,0
Notre Dame,North Carolina,0
Vanderbilt,Texas,0
South Carolina,Arkansas,0
Syracuse,SMU,0
Villanova,Seton Hall,0
Northwestern,Minnesota,0
UTEP,Liberty,0
USC,Rutgers,0
McNeese St.,Lamar,0
Stanford,California,0
Providence,Butler,0
Nevada,Fresno St.,0
UNLV,Air Force,0
UT Arlington,Grand Canyon,0
Georgetown,DePaul,0
Virginia,Georgia Tech,0
Northern Colorado,Montana,0
Utah Valley,Utah Tech,0
Richmond,Davidson,0
Jacksonville St.,FIU,0
Rhode Island,Fordham,0
UC Santa Barbara,Cal St. Bakersfield,0
Wyoming,San Jose St.,0
Rice,Charlotte,0
Norfolk St.,Maryland Eastern Shore,0
Sacred Heart,Merrimack,0
UC Davis,Cal Poly,0
South Carolina St.,Coppin St.,0
Rider,Quinnipiac,0
Massachusetts,La Salle,0
Southern,Grambling St.,0
American,Navy,3
Jackson St.,Florida A&M,0
