Home,Away,Home_Advantage
Saint Mary's,Gonzaga,0
Oklahoma St.,Cincinnati,0
Kansas St.,Arizona St.,0
Northwestern St.,McNeese St.,0
Pittsburgh,Notre Dame,0
Utah,UCF,0
TCU,Colorado,0
Syracuse,Florida St.,0
UNC Wilmington,Delaware,0
Virginia Tech,California,0
Northern Colorado,Montana St.,0
UTEP,Sam Houston St.,0
Western Kentucky,FIU,0
Montana,Idaho,0
Bryant,Albany,3
Youngstown St.,Robert Morris,0
Nicholls St.,Lamar,0
Central Connecticut,Saint Francis,3
Vermont,Maine,3
Sacred Heart,Fairfield,0
Siena,Rider,0
Utah Tech,Southern Utah,0
Prairie View A&M,Florida A&M,0
Grambling St.,Alabama A&M,0
