Home,Away
Houston,Kansas
Duke,Wake Forest
Northwestern,UCLA
North Texas,Wichita St.
Stephen F. Austin,McNeese St.
Lipscomb,Central Arkansas
North Alabama,Austin Peay
Weber St.,Northern Colorado
Montana,Eastern Washington
Texas A&M Corpus Chris,New Orleans
Florida Gulf Coast,Queens
Lamar,Nicholls St.
North Carolina Central,Norfolk St.
Jacksonville,Eastern Kentucky
Portland St.,Sacramento St.
Montana St.,Idaho
Idaho St.,Northern Arizona
UT Rio Grande Valley,Southeastern Louisiana
South Carolina St.,Howard
Florida A&M,Southern
Northwestern St.,Incarnate Word
Texas A&M Commerce,Houston Christian
Jackson St.,Prairie View A&M
Bethune Cookman,Grambling St.
Alcorn St.,Texas Southern
Morgan St.,Delaware St.
Coppin St.,Maryland Eastern Shore
