Home,Away
Houston,Cincinnati
Duke,Florida St.
Kentucky,Auburn
Florida,Texas A&M
Tennessee,Alabama
Kansas,Texas Tech
Iowa St.,Arizona
Vanderbilt,Missouri
San Francisco,Gonzaga
Penn St.,Maryland
St. John's,Seton Hall
BYU,West Virginia
Saint Mary's,Oregon St.
Louisville,Pittsburgh
Virginia,Clemson
Georgetown,Marquette
Mississippi,Oklahoma
Baylor,Oklahoma St.
Mississippi St.,LSU
Xavier,Creighton
Texas,Georgia
Oregon,USC
Providence,Connecticut
Colorado St.,Utah St.
Fresno St.,Boise St.
New Mexico,Air Force
Stanford,SMU
South Carolina,Arkansas
North Carolina,Miami FL
Wyoming,San Diego St.
Pacific,Santa Clara
UC San Diego,Cal St. Fullerton
Villanova,Butler
Nebraska,Minnesota
Washington,Indiana
Utah,Arizona St.
Lamar,McNeese St.
Duquesne,George Mason
TCU,UCF
Harvard,Yale
Fordham,Saint Joseph's
Dayton,Richmond
Wake Forest,Notre Dame
UC Irvine,Long Beach St.
Seattle,Grand Canyon
Pepperdine,Washington St.
Georgia Tech,N.C. State
Denver,South Dakota St.
St. Thomas,UMKC
Saint Louis,Loyola Chicago
UNC Greensboro,Samford
UNC Wilmington,Delaware
UTEP,Middle Tennessee
New Mexico St.,Western Kentucky
George Washington,La Salle
California,Boston College
Cal St. Northridge,UC Santa Barbara
Virginia Tech,Syracuse
FIU,Jacksonville St.
Northern Arizona,Northern Colorado
Utah Valley,Southern Utah
Sam Houston St.,Louisiana Tech
VMI,Chattanooga
Tulsa,Tulane
Massachusetts,Rhode Island
Wofford,Furman
Portland St.,Montana
Milwaukee,Detroit Mercy
Texas A&M Corpus Chris,Southeastern Louisiana
Charleston,Campbell
Ohio,Miami OH
Utah Tech,Cal Baptist
Cleveland St.,Purdue Fort Wayne
Maine,Bryant
The Citadel,East Tennessee St.
Nebraska Omaha,Oral Roberts
Radford,Charleston Southern
South Carolina St.,Norfolk St.
Towson,Hampton
Stephen F. Austin,Nicholls St.
Stony Brook,Elon
Dartmouth,Brown
Wagner,Central Connecticut
William & Mary,Northeastern
Drexel,Monmouth
Sacramento St.,Montana St.
IU Indy,Wright St.
Eastern Illinois,Southeast Missouri St.
Green Bay,Oakland
Winthrop,UNC Asheville
Northern Kentucky,Youngstown St.
Eastern Washington,Idaho St.
UT Arlington,Abilene Christian
USC Upstate,Longwood
UMBC,Vermont
Bethune Cookman,Southern
Cal Poly,Cal St. Bakersfield
UT Rio Grande Valley,New Orleans
Hawaii,UC Davis
Hofstra,North Carolina A&T
South Dakota,North Dakota
Holy Cross,Bucknell
SIU Edwardsville,Little Rock
Idaho,Weber St.
Northwestern St.,Houston Christian
Buffalo,Toledo
Tennessee St.,Southern Indiana
Texas A&M Commerce,Incarnate Word
Presbyterian,Gardner Webb
Colgate,American
Bowling Green,Ball St.
UMass Lowell,Binghamton
San Diego,Portland
Columbia,Penn
Tennessee Martin,Morehead St.
Jackson St.,Texas Southern
Mercer,Western Carolina
NJIT,Albany
Tennessee Tech,Lindenwood
Army,Lehigh
Northern Illinois,Western Michigan
Navy,Loyola MD
Fairleigh Dickinson,LIU
North Carolina Central,Howard
Boston University,Lafayette
Alabama St.,Alabama A&M
Saint Francis,Chicago St.
Delaware St.,Coppin St.
Alcorn St.,Prairie View A&M
Stonehill,Le Moyne
Florida A&M,Grambling St.
Maryland Eastern Shore,Morgan St.
Mississippi Valley St.,Arkansas Pine Bluff
