Home,Away,Home_Advantage
Baylor,Houston,3
North Carolina,Duke,3
Auburn,Alabama,3
Florida,Mississippi,3
Tennessee,South Carolina,3
Arizona St.,Texas Tech,3
Kansas,Arizona,3
Kansas St.,Iowa St.,3
Maryland,Northwestern,3
BYU,Utah,3
Wisconsin,Penn St.,3
Missouri,Kentucky,3
Marquette,St. John's,3
LSU,Texas A&M,3
Louisville,Stanford,3
Clemson,Virginia Tech,3
UCLA,USC,3
Georgia,Vanderbilt,3
West Virginia,UCF,3
Arkansas,Mississippi St.,3
Creighton,Butler,3
Connecticut,Seton Hall,3
Oklahoma St.,Cincinnati,3
Indiana,Ohio St.,3
Xavier,Providence,3
Utah St.,Air Force,3
Florida St.,SMU,3
Texas,Oklahoma,3
UC Davis,UC San Diego,3
San Diego St.,Nevada,3
Drake,Belmont,0
Western Kentucky,Liberty,3
Colorado,TCU,3
Pittsburgh,Boston College,3
Richmond,George Mason,3
UC Santa Barbara,UC Irvine,3
La Salle,Saint Joseph's,3
Brown,Yale,3
Wake Forest,Georgia Tech,3
Davidson,St. Bonaventure,3
Pepperdine,Oregon St.,0
Radford,High Point,0
Abilene Christian,Grand Canyon,3
Valparaiso,Bradley,0
DePaul,Georgetown,3
Notre Dame,California,3
Marshall,Arkansas St.,0
Syracuse,Virginia,3
Washington St.,Loyola Marymount,0
Sam Houston St.,New Mexico St.,3
St. Thomas,North Dakota,0
Miami FL,N.C. State,3
Saint Louis,Duquesne,3
Troy,Old Dominion,0
Tarleton St.,Utah Valley,3
Middle Tennessee,FIU,3
Massachusetts,Loyola Chicago,3
Samford,Furman,0
Louisiana Tech,UTEP,3
Cal St. Northridge,Hawaii,3
Cornell,Columbia,3
Utah Tech,Seattle,3
Jacksonville St.,Kennesaw St.,3
Mercer,Chattanooga,0
Cal St. Fullerton,UC Riverside,3
Rhode Island,Fordham,3
Wofford,East Tennessee St.,0
Cal Baptist,UT Arlington,3
South Dakota,Nebraska Omaha,0
VMI,UNC Greensboro,0
Bryant,UMBC,3
San Jose St.,Fresno St.,3
Harvard,Dartmouth,3
Winthrop,UNC Asheville,0
Central Connecticut,Fairleigh Dickinson,3
Northeastern,Hampton,0
Elon,Drexel,0
Southeast Missouri St.,SIU Edwardsville,0
Fairfield,Quinnipiac,3
Long Beach St.,Cal Poly,3
Princeton,Penn,3
Monmouth,Hofstra,0
Vermont,New Hampshire,3
Southern,Alabama A&M,3
Delaware,Campbell,0
Maine,UMass Lowell,3
Iona,Sacred Heart,3
Northern Arizona,Eastern Washington,0
Manhattan,Siena,3
Mississippi Valley St.,Jackson St.,3
Mount St. Mary's,Marist,3
Albany,Binghamton,3
Grambling St.,Alabama St.,3
Bethune Cookman,Florida A&M,3
LIU,Saint Francis,3
Prairie View A&M,Texas Southern,3
Weber St.,Sacramento St.,0
Saint Peter's,Canisius,3
Rider,Niagara,3
Arkansas Pine Bluff,Alcorn St.,3
