Home,Away
Texas A&M,Auburn
Iowa St.,BYU
Arizona,Arizona St.
Purdue,Rutgers
Kentucky,LSU
Duquesne,VCU
Mississippi St.,Texas
South Carolina,Georgia
TCU,Baylor
Utah,West Virginia
Vanderbilt,Arkansas
Oregon,Indiana
Seton Hall,Creighton
Ohio St.,Nebraska
Nevada,New Mexico
Air Force,Boise St.
SMU,Syracuse
Virginia Tech,North Carolina
Georgetown,Villanova
UNLV,San Diego St.
UTSA,Memphis
Colorado St.,San Jose St.
Dayton,Saint Louis
Virginia,Florida St.
Georgia Tech,Miami FL
Toledo,Akron
Western Michigan,Kent St.
Ohio,Eastern Michigan
Bryant,New Hampshire
Tulsa,Temple
Buffalo,Miami OH
Fresno St.,Wyoming
Wright St.,IU Indy
Ball St.,Central Michigan
Oakland,Green Bay
Vermont,Albany
Maine,UMass Lowell
Northern Kentucky,Detroit Mercy
Northern Illinois,Bowling Green
Lafayette,Holy Cross
Loyola MD,Lehigh
Binghamton,NJIT
