Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
UNC Asheville,52.2,51.5,40.7,38.3,29.0,31.7,19.2,14.7,37.2,30.8,50.5,54.5,68.0,68.1,32.8,36.3,40.2,47.8,231,UNC Asheville,BSth,8-10,104.21420590369588,109.67839668192268,0.3571637685796974,0.4043589468043587,65.53236788100183,2026,0.2962921763097868,0.07803043530257335,0.8433749294725311,-1.1333430188923173,-0.4567039262364889,0.16092260064714736,0.8614798507519937,0.37459009891046074,-0.26249082148166575,0.6535179420617563,1.2559480790189144,-1.0195186106392966,-1.1606357423857407,-0.7502417456673565,-0.9212528767654681
Fordham,50.2,48.7,23.200000000000003,24.7,36.9,25.1,17.2,15.3,29.3,34.4,53.9,46.8,69.6,73.0,37.5,39.2,52.4,59.2,181,Fordham,A10,10-7,104.45871699666128,105.82372500256264,0.4627436387764528,0.2873653098507723,63.87818710576624,2026,-0.23293045326238154,-0.7274958766088498,-0.08021297709054663,-0.8744485564562912,1.348018249045016,-1.7055316360354569,-2.1726525636052814,-1.7763240144400663,0.4843021850720868,-1.2134389355196222,-1.4250752300209433,0.28465531301727776,-0.3653844678469627,-0.11922792938694536,-1.5393569356614965
BYU,57.8,46.400000000000006,36.9,24.5,35.3,29.4,15.4,18.4,36.6,29.9,59.8,47.4,74.5,67.9,41.2,39.9,51.4,53.4,16,BYU,B12,15-1,123.32328654708392,97.82595500746136,0.9348456406633564,0.6060625666745896,71.04370450260848,2026,1.7781155391118568,-1.3891782042503757,-0.911442092997316,0.4631728327965058,0.9825048970892678,-0.4895084212270939,0.20263966934869898,-1.8079551043422797,1.780207696444775,-1.0679617762275664,1.0523260555475324,-1.3455620915534412,0.26066440785377754,0.03308575040487679,1.1381227288252889
Duke,58.1,46.3,43.7,23.7,36.2,26.4,16.5,19.7,35.5,31.1,62.4,46.0,71.8,72.6,47.0,43.1,60.7,52.1,14,Duke,ACC,15-1,122.57108630684996,96.45817688331874,0.9402057315758894,0.6139763264852924,68.65993573236297,2026,1.8574989335476833,-1.4179470011043578,-0.4034687443876235,1.0241108347412278,1.1881061575643774,-1.337896710628278,1.3816168360703838,-1.9344794639511345,2.3512847014564686,-1.4074084812423622,0.6790190125166657,-0.9108374503345819,1.2420383211143962,0.72937685802464,0.24739955369438849
Utah Valley,57.1,48.7,35.099999999999994,35.8,33.5,29.9,21.3,20.200000000000003,35.5,31.2,59.1,49.6,69.7,75.7,33.9,33.1,62.9,52.0,84,Utah Valley,WAC,14-4,111.89343096581264,101.75694868165658,0.7487652295813478,0.4165322074707289,70.42794756273352,2026,1.592887618761599,-0.7274958766088498,1.8131422313637633,1.2398562201045837,0.5713023761390521,-0.34811037299356323,-0.10944252184233574,-0.020798524867209723,1.6264561950954741,-0.5345455254900293,0.6790190125166657,-0.8746103968996778,-0.974513103663899,-1.4465328532871182,0.9080379221777802
Central Michigan,48.6,54.900000000000006,29.5,41.9,28.4,36.3,17.4,16.5,28.9,36.2,51.4,55.3,72.2,67.9,34.3,39.9,54.6,61.8,310,Central Michigan,MAC,5-12,102.54642286570731,115.5157698798784,0.2026922816637846,0.4254026876037651,66.56652227713961,2026,-0.6563085569201166,1.0561695283378756,0.012145813565760808,-0.3566596315842407,-0.5937714332198947,1.461784644395629,-1.0803648944366628,0.9439497171503064,-0.06481031974684912,0.8474874877844961,-1.5608232456685318,0.9367422748455669,-0.9068321441286841,0.03308575040487679,-0.5348289505855177
St. Bonaventure,52.900000000000006,52.400000000000006,28.6,34.7,37.3,30.2,17.299999999999997,17.599999999999998,37.3,33.6,51.5,53.5,76.8,76.7,31.8,37.2,53.2,53.0,137,St. Bonaventure,A10,11-5,113.92562544797674,111.27261883795342,0.5673310305416337,0.4436603604357448,67.35141481350144,2026,0.4815200966600465,0.3369496069883898,-0.03403358176239373,0.11798021621513828,1.4393965870339527,-0.26327154405344466,-1.2364059900321795,-0.19476951932938383,-0.04284581955409137,0.4110560099083306,1.2898850829308095,-0.005161114461960139,-1.3298381412237779,-0.554409871649297,-0.24154464346174204
Texas Tech,55.1,49.4,29.9,32.6,34.300000000000004,29.2,14.6,15.7,37.6,31.3,54.0,50.6,69.1,68.9,45.9,34.4,54.2,41.9,23,Texas Tech,B12,12-4,122.63720286817964,99.00356556932373,0.9214242508569184,0.6791117343664853,67.6809252899689,2026,1.0636649891894308,-0.526114298630995,-1.2808772556225474,-0.7018522481656082,0.754059052116927,-0.546067640520506,-1.011013296394211,-0.5268959633026272,0.5062666852648445,-0.2920835933366036,1.3916960946665016,-0.8383833434647724,1.0559156823925544,-1.1636645908165901,-0.11841918704099827
Cincinnati,49.7,47.3,31.4,29.2,29.7,23.4,17.4,20.3,31.1,31.7,52.4,47.2,63.8,70.0,46.3,42.1,66.3,56.5,66,Cincinnati,B12,8-8,104.27391067906166,93.43377369413204,0.7794279018826823,0.551503420193826,69.67264045410586,2026,-0.36523611065542366,-1.1302590325645634,0.012145813565760808,1.2830052971772539,-0.29679183475584936,-2.186285000029462,-0.7509448037350159,-1.0646244916402594,0.15483468218072524,-1.1164541626582505,-0.8142091596067985,-0.6934751297251535,1.1235966419277692,0.5117858868934642,0.6258085573193419
Kentucky,55.1,47.1,34.0,32.1,34.2,26.200000000000003,14.9,17.0,33.8,29.5,58.0,49.2,73.6,74.5,40.1,41.8,59.4,60.8,37,Kentucky,SEC,10-6,117.3213885366616,99.52053190495027,0.8690244637568545,0.5818369325095633,68.56909892192176,2026,1.0636649891894308,-1.187796626272521,-1.1423390696380855,-0.1409142462208862,0.7312144676196924,-1.394455929921689,-0.30015941645907773,-0.6059736880581613,1.384846692975142,-0.6315302983513992,0.10208994601441705,-1.4904703052930603,0.07454176913193573,0.44650859555411054,0.21345731348011665
