home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result,team,Point
Howard,Delaware St.,-7.8935,0.6345,-12.631310944576274,-10.262405472288137,Howard,-9.5
Alabama St.,Alcorn St.,-5.1385000000000005,0.5505,-6.580192118204586,-5.859346059102293,Alabama St.,-7.5
Coppin St.,South Carolina St.,-3.4655,0.504,0.4208595770625715,-1.5223202114687142,Coppin St.,1.5
Lamar,Houston Christian,-2.0535,0.466,-9.249978983482244,-5.651739491741122,Lamar,-7.5
Northwestern St.,UT Rio Grande Valley,-5.9785,0.571,9.512270750299177,1.766885375149588,Northwestern St.,2.5
Texas Southern,Mississippi Valley St.,-6.4105,0.6,-9.36419496554918,-7.88734748277459,Texas Southern,-14.5
Alabama A&M,Jackson St.,-2.0949999999999998,0.4515,-5.629368712481104,-3.862184356240552,Alabama A&M,-5.5
