Home,Away,Home_Advantage
Houston,BYU,0
North Carolina,Duke,0
Mississippi,Auburn,0
Missouri,Florida,0
Kentucky,Alabama,0
Texas,Tennessee,0
Texas Tech,Arizona,0
Maryland,Illinois,0
Oregon,Michigan St.,0
Purdue,Michigan,0
Wisconsin,UCLA,0
St. John's,Marquette,0
Louisville,Clemson,0
Creighton,Connecticut,0
VCU,St. Bonaventure,0
New Mexico,Boise St.,0
Utah St.,Colorado St.,0
UC Santa Barbara,UC San Diego,0
Liberty,Kennesaw St.,0
Wichita St.,Memphis,0
Tulsa,North Texas,0
Saint Joseph's,Dayton,0
George Washington,George Mason,0
UC Irvine,Cal Poly,0
Grand Canyon,Cal Baptist,0
Toledo,Akron,0
Tulane,Florida Atlantic,0
Saint Louis,Loyola Chicago,0
UAB,East Carolina,0
Middle Tennessee,Jacksonville St.,0
Utah Valley,Seattle,0
Miami OH,Kent St.,0
Norfolk St.,Morgan St.,0
Mount St. Mary's,Merrimack,0
Quinnipiac,Iona,0
South Carolina St.,North Carolina Central,0
Jackson St.,Bethune Cookman,0
Grambling St.,Alabama St.,0
