Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Vanderbilt,61.2,46.3,35.8,45.7,33.4,25.9,12.6,19.5,38.8,31.1,63.7,46.1,75.1,77.0,44.3,40.1,59.0,44.2,7,Vanderbilt,SEC,9-0,127.03499152551724,98.3762885265725,0.9497945364359892,0.547686887682822,71.01657149490482,2026,2.2990556182292954,-1.1701888445026964,-1.9954206666693513,0.7258056722161258,0.49599380444680746,-1.2363900839815873,0.006272216794196299,1.334579806941903,2.279162573193784,-1.2007950993227337,1.4770344855594566,-0.6382748248544319,0.7295618867881,0.045871011658760764,0.8536585215431246
Ohio St.,60.1,47.8,42.6,30.0,30.9,26.5,15.7,16.400000000000002,36.3,28.5,64.6,51.2,77.2,72.0,44.0,40.4,56.7,47.4,30,Ohio St.,B10,7-2,119.6412541198718,100.4138245243274,0.8823396485961315,0.4752039516774086,69.81718463476349,2026,2.054527066289095,-0.8067039969109421,-0.7674778351381776,-0.44556662576211686,-0.022976894507111247,-1.0975482070500069,1.010636222161625,-0.8552637343708258,2.4495279918330883,-0.14392508637272428,0.8210459875194464,-1.3714179001229583,0.6815355391848198,0.10638758728085969,0.40267712760470076
Arkansas,54.2,45.7,38.1,25.5,30.9,29.6,12.8,16.6,35.5,27.7,54.9,48.8,78.3,68.0,38.6,43.5,57.4,55.4,20,Arkansas,SEC,7-2,119.09307860575052,96.84672244128656,0.9151281662660234,0.5275967524572905,71.46490508644641,2026,0.7429648331552949,-1.315582783539397,-1.9161985485060493,-0.36999421944094013,-0.022976894507111247,-0.38019850957017637,0.34598357155082704,-1.4829258958935823,0.6133673687205682,-0.6412756807021415,0.6111296681466438,-1.5970003848209666,-0.1829387176742308,0.7317255353758881,1.0222364131160055
Houston,51.4,42.7,21.4,37.3,39.1,31.0,15.1,23.0,33.2,26.7,52.6,44.6,74.5,65.8,42.7,42.0,60.6,47.2,3,Houston,B12,9-1,118.5604127517974,90.2738597732341,0.9582979767759724,0.5416267274413086,63.93415474184499,2026,0.12052851912569389,-2.042552478722906,-1.005144189628082,2.048322782836723,1.6792469980617428,-0.056234130063156605,-2.1206162651603573,0.16294377209942337,0.17798907664234206,-1.5116392207786185,0.0076202499498352425,-1.8789784906934766,0.473421366237271,0.42914265726539064,-1.809400651350762
Little Rock,48.9,61.2,25.3,31.0,30.6,36.6,23.8,18.5,37.2,41.0,46.0,60.9,57.9,67.9,29.1,46.6,51.6,58.5,317,Little Rock,OVC,2-8,101.29308207829862,114.081977708196,0.2030498661646184,0.4990500197161222,65.43058243291127,2026,-0.43521818982930627,2.4404273082420658,2.4410179504755356,0.34794364061024086,-0.08525337838158091,1.239623387964924,-1.5445839679643318,-0.7157832540324354,-1.0713573267125696,1.866200232375331,1.0572018468138515,2.1533084232834168,-1.7037730584447832,1.3570634834709165,-1.2467289492732503
Long Beach St.,48.9,57.2,26.6,47.1,31.8,28.3,17.8,18.5,30.8,37.2,50.5,58.1,69.1,78.1,38.4,37.3,46.6,52.2,292,Long Beach St.,BW,2-9,103.01503898494173,113.29191295335563,0.2509471444229963,0.4973244277440105,67.73917702479933,2026,-0.43521818982930627,1.4711343813307205,0.06435440557648923,0.34794364061024086,0.16385255711629995,-0.6810225762552666,-1.3525732022323234,1.5298524794156494,-0.21953023351603906,1.2859578723243463,-0.622128708168575,1.0817916209678795,-0.214956282743085,-0.5189503608141688,-0.3786744110021674
Northwestern,55.8,47.2,39.8,33.6,31.4,35.9,14.3,16.5,35.5,29.2,57.0,49.4,74.3,75.1,32.1,39.3,63.7,62.3,65,Northwestern,B10,5-4,115.305417297988,102.7691805141971,0.7897862358047637,0.5952029148260782,67.37865379272415,2026,1.0986427268864938,-0.9520979359476425,-1.3220326622812877,-0.40778042260152914,0.0808172452836725,1.0776411982114134,0.5970745728926834,-0.35313400515262033,1.0108866788789492,-0.5169380321197872,0.6111296681466438,-1.1740332260122015,-1.2235095824119773,-0.11550652333350542,-0.5142347336567712
San Diego St.,54.900000000000006,51.3,38.1,35.9,33.0,33.2,19.6,21.4,40.5,35.6,51.6,49.4,76.1,72.5,35.6,47.3,56.4,58.3,51,San Diego St.,MWC,5-3,114.3944061868858,100.21968097191376,0.8207309119642962,0.5777138319857313,69.23284108908351,2026,0.8985739116626956,0.041427314136485024,0.7773534690462034,1.443743532267307,0.41295849261418077,0.4528527520193042,0.34598357155082704,-0.032328900374322914,-0.011305832956886912,-0.5169380321197872,1.923106664226664,0.6306266515718632,-0.6632021937070368,1.498268826589148,0.18295813990574625
Sam Houston St.,51.9,51.3,32.7,50.0,37.4,37.0,16.900000000000002,19.0,36.2,29.6,50.4,57.0,78.1,67.6,39.0,44.9,47.5,50.3,155,Sam Houston St.,CUSA,6-3,108.65452266473636,108.45309564094192,0.5053345054471309,0.4848923427220423,70.49895842718601,2026,0.2316778609166939,0.041427314136485024,-0.29214512615836713,0.5368746564131833,1.3263469227730775,1.332184639252644,-0.4515996091821304,1.934345872396981,-0.23845972447596223,1.0580055165900304,0.7948064475978475,-1.061241983663197,-0.11890358753652357,1.0141362216123522,0.6590308575606569
Texas,55.00000000000001,48.0,50.2,38.6,36.7,24.9,14.4,14.3,33.7,36.3,57.9,44.7,72.1,72.1,38.8,33.9,47.3,42.5,41,Texas,SEC,7-3,119.37827069063252,103.03680784334064,0.844608506895543,0.4299046826146928,68.61348720786786,2026,0.920803780020896,-0.7582393505653741,-1.2824216031996372,-1.239076892134476,1.1810351270659811,-1.4677932122008874,2.1331606987487506,0.3442683965393314,1.1812520975182552,-1.490916279348226,0.13881794955783727,0.8280113256826189,-0.15092115260537775,-1.2048048845312962,-0.049925082325728586
