Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Jacksonville St.,50.9,41.3,40.400000000000006,25.4,23.7,30.0,11.9,13.4,38.1,21.4,47.2,48.6,69.6,93.8,36.8,44.4,48.0,39.1,159,Jacksonville St.,CUSA,3-0,104.47490084554138,105.39787973085052,0.4747340152154222,0.0943483112316267,67.89055414182639,2026,0.0558898931112683,-1.5945848941593517,-1.645582810967489,-1.2078359237790088,-1.154278378217525,-0.2490781388865226,0.34175924784975403,-1.1996110945505647,-0.6324722960863772,-0.48914065044518074,0.8711268574947998,-1.9768216249726,-0.41105109487199615,0.7498983856202641,-1.1764369884683958
East Carolina,48.3,55.60000000000001,60.0,56.89999999999999,33.300000000000004,26.9,16.900000000000002,16.2,20.0,34.1,57.5,58.3,66.7,71.2,33.3,37.9,48.1,49.1,154,East Carolina,Amer,2-1,105.79574385452122,106.3628637381985,0.4846345131211379,0.3237976595786301,70.99369384739025,2026,-0.3753256236577871,0.7995400210013706,-0.2679733476575491,-0.4436856736229196,0.31991298979319427,-0.7324118966469396,2.344992069740074,1.9050661276430452,0.8594210387967548,0.9453018848825459,-2.09083896033299,0.21436838998686664,-0.9143749458247178,-0.29242039104156553,0.03446739273628073
Missouri,65.10000000000001,48.1,46.7,31.4,37.5,29.6,19.2,19.9,44.2,33.1,64.5,46.4,63.6,70.3,33.6,52.5,48.5,55.9,31,Missouri,SEC,4-0,119.9996418268505,100.674171262736,0.8828183386548364,0.3774297382627348,71.47056596417985,2026,2.410990023157648,-0.45611989953746995,0.36572700546502224,0.5660842997976271,0.9648717132978829,-0.3114437850491568,0.9856555120287853,-0.6082440046089246,1.8733291304649031,-0.8144781326844595,1.8693584314588618,0.04183374313966459,-0.871232901457341,2.048787938075775,0.2205520006769206
Middle Tennessee,54.900000000000006,50.9,27.9,44.4,26.5,18.8,15.4,16.8,26.9,21.4,65.7,57.5,58.8,70.8,42.6,25.9,36.7,50.0,136,Middle Tennessee,CUSA,3-0,105.17572880335362,104.0162337656068,0.531827942307146,0.1419325617945064,71.23825483480915,2026,0.7192983804482774,0.012659804130362926,-0.6812561866505313,-0.27993919144661433,-0.7243058958810653,-1.9953162314402864,-0.9358127048864204,0.6730513569312956,2.047141946179443,0.826997345886445,-0.9616917701113469,-1.9768216249726,0.4230284295639431,-2.216701209494174,0.12989976099425
Duke,59.3,38.1,44.8,21.5,38.7,28.8,14.2,21.9,37.5,24.6,62.1,39.1,75.2,66.1,47.6,46.9,65.4,50.0,2,Duke,ACC,4-0,120.5439285023178,93.1468726370956,0.9509733600161906,0.3764651744460437,70.6064234781939,2026,1.4490477165189848,-2.130333126922589,-1.011882457844917,1.1119059070519768,1.1491456342992232,-0.4361750773744258,0.7914645752128864,-1.5839997030126305,1.5257034990358238,-1.8940070510238827,0.7729401453016131,-1.424710755061553,1.1420625023535453,1.150790222797891,-0.11665290195422023
UC Irvine,42.8,40.9,51.7,28.5,26.5,39.3,15.4,20.1,29.0,27.0,42.5,41.0,63.9,69.2,26.3,27.0,58.7,54.9,104,UC Irvine,BW,3-1,105.44229407454873,99.6237387269625,0.6576363256929668,0.1560037943577298,72.6152711086707,2026,-1.2875122937461732,-1.6615534232547562,-0.6812561866505313,0.6206664605230628,-0.7243058958810653,1.2009231343947273,1.496684293123255,-0.8940714314140504,-1.3132391576349915,-1.6130337709081424,-0.6180382774351942,-1.0106276026282681,-1.9210226477301604,-2.040308801136018,0.6672378112339494
Connecticut,63.4,43.5,42.4,41.6,34.5,23.4,15.6,20.9,40.2,26.7,65.3,45.3,72.4,69.7,37.7,35.0,62.8,28.9,6,Connecticut,BE,4-0,121.92050525924644,96.83242053026332,0.9339773802726417,0.358194893721695,69.08511774968123,2026,2.129041416039418,-1.226257984134625,-0.626151808118134,0.8389951034248019,0.5041869107945334,-1.278111300569991,0.5461707602875411,0.3970800482918639,1.9892043409412625,-0.9771468738040988,1.2147803501709524,-1.062387996682429,-0.2816249617698669,-0.7574549221676125,-0.7102954532402038
Ohio St.,61.2,50.4,57.9,26.9,29.0,23.1,17.4,16.7,38.0,29.5,65.1,54.4,78.5,64.6,47.8,39.3,62.4,43.5,24,Ohio St.,B10,4-0,120.52713135287502,99.98561474619612,0.8955527017973166,0.3705568191514484,69.98726912488952,2026,1.7641667480040646,-0.07105085723889304,-0.13021240132655612,-0.30723027180933216,-0.3404018937949407,-1.3248855351919662,2.1303599816803964,-1.0517693220651545,1.9602355383221721,0.36856725727655265,0.8547624054626018,-0.579290985510263,1.1708238652651288,-0.06792096222209476,-0.3582587560876844
Stanford,51.3,53.6,36.4,27.4,30.4,19.4,14.8,24.8,32.3,37.1,52.6,52.0,75.0,76.1,32.8,41.7,39.6,44.2,97,Stanford,ACC,3-0,108.49622969535145,101.51315738645532,0.682451422158059,0.3753274695271267,71.96031994844218,2026,0.12223074184496886,0.4646973755243456,-0.846569322247724,1.9033472375707843,-0.12541565262671114,-1.9017677621963351,-0.0670637770258223,-1.0024887312366846,0.14968537462905124,0.013653640288249204,-0.07801136037266945,0.7319723305284729,-0.986278353103678,0.3169352014684279,0.4116633593412999
Mississippi Valley St.,42.7,55.60000000000001,26.1,47.2,25.0,40.1,22.6,13.1,26.1,34.2,44.3,59.5,87.0,70.9,31.2,47.5,39.5,62.5,365,Mississippi Valley St.,SWAC,1-5,90.79911345501544,118.86693256589362,0.0432070219731992,0.4545294093718556,68.30411586022467,2026,-1.3040975059295974,0.7995400210013706,1.3025014405157815,-1.2897091648671615,-0.95464829713274,1.3256544267199968,-1.119783066080429,0.9490226655707281,-1.0525199340631823,1.122758693376698,-1.0926073863689283,0.2316218546715871,-1.2163692563963504,1.2470042637205216,-1.0150573071704114
