Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Ohio St.,60.0,47.9,52.6,26.3,33.6,23.7,17.299999999999997,17.8,36.4,28.2,64.8,51.3,78.5,66.2,47.1,38.5,61.7,43.4,22,Ohio St.,B10,5-0,120.74495789834891,99.9123657576453,0.8982519896687812,0.3250819181607414,69.72447488926208,2026,1.758007270371192,-0.628261664516966,-0.15833297835134147,0.011526905053124249,0.43601612265318906,-1.4105232867558788,1.939126858733941,-1.2829752876529117,2.116705892523638,-0.13011143929269883,0.7099141192570112,-1.1130944044265871,1.1179081230737227,-0.2577372739352954,-0.11854950827284062
Jacksonville St.,47.2,47.3,31.8,41.1,27.1,23.8,16.900000000000002,15.5,31.0,27.9,47.8,51.0,64.3,76.8,47.7,40.5,58.6,47.1,172,Jacksonville St.,CUSA,3-2,104.1131076137437,106.1116922939642,0.4455505015523108,0.2353566812570403,67.17477313777891,2026,-0.6919285885920311,-0.7467913893009215,-0.28661607956829704,-0.732845155877468,-0.7373598426311713,-1.391896622513263,-0.6046055147447763,0.47709594781475473,-0.6539801388469582,-0.17997914178674965,-0.40112346138104615,-1.1807400017651994,1.209601710696624,0.09699162872828965,-1.1294823172150361
Stetson,50.2,54.3,36.7,29.2,23.9,32.6,20.200000000000003,16.6,36.0,33.6,46.5,57.1,64.4,72.8,49.1,41.6,60.7,58.4,351,Stetson,ASun,3-3,98.42366769494016,115.40343444323511,0.1382076165351626,0.3475756755018999,70.03944061184998,2026,-0.11772487164752558,0.6360553998452224,0.7717195054716,-0.37684112673674963,-1.315021856309626,0.2472498308369106,-0.005360869069501365,-0.9380964644869503,-0.8658561294811797,0.8339974755922933,0.6276150392097479,0.10452634766843111,1.423553415150059,0.2920925251932617,0.006331443968367223
Southern Illinois,53.6,48.1,33.1,30.4,31.0,32.5,14.6,15.1,23.2,33.6,60.1,46.4,71.7,71.6,25.6,41.7,46.3,53.6,136,Southern Illinois,MVC,3-3,108.92583600134014,107.26276653109548,0.5441187368802515,0.3710091273819262,71.49120262196882,2026,0.5330393408895804,-0.588751756255647,-1.0242439115658017,-0.8623011664740928,-0.03333426346055531,0.2286231665942947,-0.4456222414023564,-0.795387985935518,1.3506926956152976,-0.9446172466955362,-2.0059555223026853,0.10452634766843111,-2.167778766746892,0.3098289703264412,0.5819414524531953
St. Bonaventure,54.0,49.5,28.7,30.4,44.0,29.8,18.6,18.6,37.5,32.7,53.0,49.7,74.7,74.1,29.0,38.2,54.4,51.2,123,St. Bonaventure,A10,5-0,108.96666770432688,105.54848430788444,0.5906186995029932,0.3629747049875874,67.20776482157939,2026,0.6095998364821809,-0.31218239842641854,0.25858710060377077,0.2704389262463739,2.3134176671081654,-0.2742967679563265,-0.9837194742536237,-0.795387985935518,0.1935238236899306,-0.39607251926097137,0.9362365893869862,-0.09841044434740487,-1.6481817702171206,-0.31094660933483265,-1.1164014243001115
Missouri,64.8,47.5,46.7,30.8,38.8,27.0,19.7,19.0,45.0,34.1,63.6,44.0,67.3,70.3,32.0,48.9,49.5,51.8,31,Missouri,SEC,6-0,120.43524265441552,101.76540125957516,0.874031363969065,0.2902867259321686,71.05215720996696,2026,2.6767332174824,-0.7072814810396025,0.6113656289504024,0.3998949368429981,1.3747168948806765,-0.7958433667495636,1.217587387410651,-0.7478184930850402,1.9211280550151262,-1.343558866647946,2.4793443402731774,0.21726900989945128,-1.1897138321026162,1.5868530199153466,0.40786406816695947
Houston,50.9,41.3,20.7,38.1,37.6,29.7,15.1,22.3,32.3,25.0,52.6,43.5,76.5,60.2,41.2,35.9,57.2,42.9,2,Houston,B12,6-0,117.75945252142252,90.41739380829438,0.9542783946973068,0.4872076273153944,65.6845011940696,2026,0.016255995639524897,-1.9320886371404735,-0.8638900350446052,1.4679070242651522,1.158093639751257,-0.2929234321989424,-1.9620780794377457,0.12032475143617372,0.12833121118709329,-1.4266717041380317,-0.13365145122744027,-1.834647442705116,0.216254511448531,-0.7188848473979562,-1.7203611528535303
Houston Christian,50.0,53.5,20.200000000000003,17.4,23.3,18.8,18.6,19.4,30.0,34.7,53.6,54.5,54.2,80.0,42.0,42.6,61.5,60.4,243,Houston Christian,Slnd,3-1,103.97776721558154,110.67935141528072,0.3277691525870667,0.183257294637511,68.03666122820749,2026,-0.1560051194438265,0.4780157667999494,0.25858710060377077,0.5293509474396223,-1.423333483874336,-2.323229834644043,-2.0232254922617527,-2.3413965035760356,0.2913127424441872,0.40181072064384865,-0.606871161499205,0.3525602045766758,0.3385126282790651,0.4694569765250542,-0.7877517804007033
Mississippi Valley St.,43.1,54.3,30.0,50.8,24.4,39.7,21.5,13.1,25.5,33.3,45.0,58.1,80.2,70.5,28.9,46.6,38.8,60.5,365,Mississippi Valley St.,SWAC,1-6,91.58931613128254,119.46813947038282,0.0449611363250425,0.4425066440640179,68.42109837511224,2026,-1.476673668416189,0.6360553998452224,1.18863958442671,-1.5095812194572162,-1.2247621666723676,1.569742992062619,-0.8247362009112038,1.630656149438833,-1.1103284263668207,1.0002231505724644,-1.5327358120309196,0.03688075032981805,-1.6634640348209375,1.1789147818522243,-0.6353260605861941
Coastal Carolina,46.400000000000006,44.8,26.9,44.1,23.4,22.2,16.0,13.1,31.5,30.0,45.6,44.7,66.0,70.3,45.2,36.3,42.5,42.6,241,Coastal Carolina,SB,4-3,102.0133312940803,108.44228050999826,0.3311878846740212,0.3573629249647713,71.05376874672812,2026,-0.845049579777232,-1.2406652425674014,-0.5752530573064514,-1.5095812194572162,-1.4052815459468846,-1.689923250395113,-1.2038501604200513,0.8338671441933357,-1.012539507612564,-1.227200894161826,-0.2982496113219667,-0.7072208203949144,0.8275450956012035,-0.6479390668652395,0.4085030273643346
