Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Jacksonville St.,50.4,46.6,22.3,34.5,25.3,24.7,15.0,12.0,37.3,23.8,45.2,52.7,63.0,75.0,48.8,36.2,64.0,32.7,160,Jacksonville St.,CUSA,3-1,105.18160099602883,106.4029340364169,0.4668574756261076,0.156003961138295,67.22026108222256,2026,-0.07842321171138032,-0.8415999623704665,-0.8746294811271772,-1.810997221791019,-1.060197213874997,-1.2148350707933664,-1.6634731850540212,-0.30242385200225097,-1.0435505195179824,0.11748337882527107,0.8738718325049974,-1.9975621210770327,1.365596468141162,-0.6201290981662246,-1.1226891472588343
Southern Illinois,55.50000000000001,47.6,36.8,30.5,32.6,31.2,15.3,15.6,25.4,33.6,60.8,45.3,69.9,72.0,23.3,44.2,47.4,56.5,132,Southern Illinois,MVC,3-2,108.84122250172678,106.62557216231826,0.5588553632146359,0.3214254298056235,71.95799494111124,2026,0.8769747503352958,-0.6510509975015253,-0.7802170913564496,-0.687142329265564,0.24641493985762455,-0.021626126286116938,0.005012550438228131,-0.7681821050858855,1.4236379284704708,-1.0867769862868952,-1.5255606881887636,0.10257005630078464,-2.4622273918871067,0.7479405351409519,0.7540176010703369
Ohio St.,60.0,47.9,52.6,26.3,33.6,23.7,17.299999999999997,17.8,36.4,28.2,64.8,51.3,78.5,66.2,47.1,38.5,61.7,43.4,22,Ohio St.,B10,5-0,120.78349361771804,99.78342383949362,0.8999322403771232,0.3386532403997989,69.71052728107546,2026,1.7199729521411837,-0.5938863080408435,-0.15080115955160103,-0.0003421171666743171,0.42540290612236725,-1.3984056776406355,1.8230866622159905,-1.2572282708237015,2.056250351031613,-0.11034966322297735,0.6924021460659737,-1.0546456332747478,1.1104082108059448,-0.22680907859041183,-0.13624720693010572
San Diego St.,56.49999999999999,47.2,44.6,35.2,37.0,34.2,21.1,23.8,41.3,30.4,53.5,48.5,72.2,71.0,35.6,44.9,58.6,57.7,51,San Diego St.,MWC,2-1,112.58969293521392,98.5206398289228,0.82274650099069,0.3240041248451037,68.48383051139176,2026,1.0643076840699353,-0.7272705834491016,1.0450891108776146,1.872749370375751,1.0339619914224922,0.5290856942556912,0.9025428081513008,-0.22091615771261464,0.26912025729638706,-0.5660157473194719,1.6804037722339928,-0.5831873893736053,-0.6158652946970001,0.8676466280553292,-0.6221651952315856
Stetson,50.2,54.3,36.7,29.2,23.9,32.6,20.200000000000003,16.6,36.0,33.6,46.5,57.1,64.4,72.8,49.1,41.6,60.7,58.4,352,Stetson,ASun,3-3,98.36831476181294,115.27154170279567,0.1390053296603012,0.3498757229123726,69.94813632606954,2026,-0.11588979845830794,0.6256270671203799,0.7618519415654327,-0.37496041467515917,-1.3107803666456372,0.23537272330006026,-0.006494247737579834,-0.9195535373380668,-0.8379514821856116,0.8335300824054772,0.6117489520930744,0.10257005630078464,1.4106296900238482,0.3033179043161193,-0.04212573208874489
St. Bonaventure,54.0,49.5,28.7,30.4,44.0,29.8,18.6,18.6,37.5,32.7,53.0,49.7,74.7,74.1,29.0,38.2,54.4,51.2,123,St. Bonaventure,A10,5-0,108.81586777843796,105.4781361987604,0.5886203676282429,0.3569749513825995,67.1457393409365,2026,0.5959753497333314,-0.2890079642505373,0.2583191961215526,0.24940341450564926,2.286877755275691,-0.27862497587229346,-0.9270381018022698,-0.7798260614129765,0.19004370447624427,-0.37073028270668784,0.9141984294914478,-0.09029922529513704,-1.6065961761160819,-0.27811168983943046,-1.1522086303987336
Missouri,64.8,47.5,46.7,30.8,38.8,27.0,19.7,19.0,45.0,34.1,63.6,44.0,67.3,70.3,32.0,48.9,49.5,51.8,33,Missouri,SEC,6-0,120.38482985915404,101.692835190657,0.8744039648487393,0.2912012001917412,71.03676825174195,2026,2.619171034067465,-0.6701058939884197,0.6044979586142192,0.37427618034181054,1.3561403306990285,-0.7926226750446472,1.1441855698432821,-0.7332502361046128,1.866466624263271,-1.2983362396174103,2.426445816483314,0.20971965718740795,-1.1562639572892266,1.5516814447089176,0.3891021380717821
Houston Christian,50.0,53.5,20.200000000000003,17.4,23.3,18.8,18.6,19.4,30.0,34.7,53.6,54.5,54.2,80.0,42.0,42.6,61.5,60.4,246,Houston Christian,Slnd,3-1,103.93637188908092,110.71884056587626,0.3258591474193049,0.1746779309311185,67.98556738602771,2026,-0.15335638520523687,0.4731878952252274,0.2583191961215526,0.49914894617797173,-1.4181731464044827,-2.297901651192254,-1.905115946746002,-2.2935403839347885,0.2849355678604158,0.410411575744446,-0.5980489575004186,0.33829917825135625,0.3448434388002907,0.4743266084795164,-0.8195367229842307
Mississippi Valley St.,43.1,54.3,30.0,50.8,24.4,39.7,21.5,13.1,25.5,33.3,45.0,58.1,80.2,70.5,28.9,46.6,38.8,60.5,365,Mississippi Valley St.,SWAC,1-6,91.49386631604976,119.29932286223293,0.0451448796706727,0.445699293095853,68.35836754939189,2026,-1.4459536279742669,0.6256270671203799,1.170972297238584,-1.4675971157415744,-1.221286383513266,1.5387240319156714,-0.7774497255167576,1.595541029313559,-1.0751811406460399,0.9962679695827968,-1.5053973896955386,0.03828029576880973,-1.6216072500769771,1.1583614251331047,-0.6718634675414106
Coastal Carolina,46.400000000000006,44.8,26.9,44.1,23.4,22.2,16.0,13.1,31.5,30.0,45.6,44.7,66.0,70.3,45.2,36.3,42.5,42.6,242,Coastal Carolina,SB,4-3,101.9471278764357,108.3107576528092,0.332627126620301,0.3604552827415835,71.06882746475262,2026,-0.8277549466499473,-1.1845880991345614,-0.5599215152247524,-1.4675971157415744,-1.4002743497780086,-1.6737615879115393,-1.134160468966825,0.8153959553984719,-0.9802892772618683,-1.184419718593286,-0.29559948010204534,-0.6689070700829036,0.8251978055489366,-0.6030282277498858,0.40180140383791735
