Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
20,St. John's,BE,31,19–12,117.5,97.3,0.8976,50.6,49.0,16.0,18.6,38.4,30.3,27.2,34.0,50.7,47.5,33.6,34.4,32.5,35.6,70.2,0.28,2024,11–9,,St. John's,0.7078195533383789
21,Kentucky,SEC,31,23–8,122.5,101.5,0.8976,57.3,49.3,14.0,16.3,28.9,30.1,30.2,33.0,54.7,49.8,41.2,32.3,37.0,40.0,73.4,3.3,2024,13–5,Kentucky,R,0.6662820951810026
22,Texas,B12,31,20–11,118.1,98.2,0.8933,53.9,48.9,16.8,18.7,31.0,30.2,30.1,34.3,53.5,47.3,36.5,34.7,34.8,32.7,68.1,1.3,2024,9–9,Texas,R,0.6914865866101345
23,Florida,SEC,31,21–10,119.3,99.4,0.8909,51.7,48.6,16.2,14.7,38.6,29.4,36.6,33.5,52.1,48.8,33.9,32.1,34.9,32.8,72.2,1.4,2024,11–7,Florida,R,0.7042363109513793
24,Clemson,ACC,31,21–10,118.0,98.8,0.8859,54.3,48.6,15.0,13.6,28.0,24.8,30.6,31.3,54.7,47.0,35.8,34.0,40.3,40.3,67.4,1.7,2024,11–9,Clemson,Elite Eight,0.7335320691831549
25,Villanova,BE,31,17–14,111.9,93.8,0.8841,50.9,48.4,14.4,16.5,25.6,24.8,26.6,26.6,50.2,48.0,34.4,32.6,47.1,44.9,64.6,-0.9,2024,10–10,,Villanova,0.712373166737078
26,Wisconsin,B10,31,19–12,118.7,99.7,0.8815,52.1,52.5,14.8,17.0,30.6,23.9,34.8,32.2,52.8,50.6,33.9,37.3,34.8,34.4,65.9,1.5,2024,11–9,Wisconsin,R,0.7607208847562553
27,Colorado,P12,31,22–9,118.0,99.1,0.8815,55.9,49.8,18.3,15.4,32.9,23.5,35.6,28.3,54.2,50.0,40.0,32.9,30.3,35.2,69.2,1.2,2024,13–7,Colorado,R,0.6912565363765608
28,Nebraska,B10,31,22–9,115.2,97.0,0.8785,52.9,46.2,16.1,16.6,28.0,30.0,32.2,27.6,52.5,45.1,35.7,31.8,44.5,41.9,69.4,1.9,2024,12–8,Nebraska,R,0.6804308066795745
29,San Diego St.,MWC,29,20–9,111.6,94.0,0.8773,50.4,47.5,16.2,18.5,31.8,27.8,37.2,31.8,52.2,48.8,31.7,30.5,38.1,41.1,67.4,1.7,2024,11–7,San Diego St.,Sweet Sixteen,0.6706107830654973
30,New Mexico,MWC,30,21–9,114.3,96.9,0.8702,51.4,49.1,14.1,19.6,33.1,26.4,33.7,34.7,51.7,50.0,33.8,31.7,29.9,35.4,74.2,-0.18,2024,10–8,New Mexico,R,0.6190475470097623
31,Wake Forest,ACC,31,19–12,116.8,99.2,0.8677,54.9,49.0,15.6,16.2,26.0,25.8,31.0,29.5,54.0,49.0,37.6,32.6,37.9,34.3,69.2,-0.8,2024,11–9,,Wake Forest,0.677545701670646
32,Texas Tech,B12,31,22–9,117.1,99.4,0.8673,53.0,49.0,16.1,17.3,30.2,30.6,33.7,27.0,52.0,49.3,36.3,32.3,41.1,38.3,67.3,2.3,2024,11–7,Texas Tech,R,0.6948699673076039
33,Dayton,A10,30,24–6,118.3,100.6,0.8659,57.2,47.9,16.0,15.6,27.3,28.8,36.8,21.8,54.2,48.2,40.7,31.7,44.3,40.4,65.1,3.0,2024,14–4,Dayton,R,0.6469573537922199
34,Mississippi St.,SEC,31,19–12,112.2,95.8,0.8599,51.8,47.9,18.6,17.7,35.8,27.6,37.0,32.2,53.4,50.5,33.0,29.4,38.8,40.8,68.3,-0.28,2024,8–10,Mississippi St.,R,0.7086635062902676
35,Nevada,MWC,31,25–6,114.1,97.4,0.8598,53.3,48.0,14.8,17.5,27.3,27.0,45.3,33.6,52.5,48.8,36.6,31.2,33.7,41.2,67.7,2.9,2024,13–5,Nevada,R,0.5893594304560852
36,Northwestern,B10,31,21–10,116.8,99.8,0.8583,53.4,51.5,13.3,18.8,26.0,28.3,29.8,39.6,50.0,50.4,39.6,35.6,36.6,36.7,64.7,1.5,2024,12–8,Northwestern,R,0.6827488015048249
37,TCU,B12,31,20–11,115.4,98.7,0.8568,52.8,50.3,17.6,20.7,35.0,28.8,35.3,35.5,52.1,51.0,36.4,32.5,30.2,34.7,70.9,0.5,2024,9–9,TCU,R,0.6566430474501885
38,Oklahoma,B12,31,20–11,113.5,97.3,0.8554,53.0,47.3,17.8,16.3,30.2,26.2,37.2,30.6,53.8,48.8,34.4,29.6,38.3,35.8,68.0,1.1,2024,8–10,,Oklahoma,0.6712819670141511
39,Boise St.,MWC,29,20–9,114.0,97.7,0.8551,52.2,49.9,16.5,16.9,32.3,22.8,36.3,33.0,52.0,52.1,35.1,30.8,39.4,37.1,67.6,1.1,2024,13–5,Boise St.,R,0.6400140090280483
40,Ohio St.,B10,31,19–12,115.6,99.1,0.8538,50.9,48.3,15.6,16.0,31.3,28.8,34.1,30.0,51.0,46.4,33.9,34.8,35.6,33.4,66.4,-0.7,2024,9–11,,Ohio St.,0.6960206394139572
41,Colorado St.,MWC,29,20–9,114.6,98.3,0.8537,55.1,49.3,14.7,16.9,23.1,27.2,32.9,31.3,57.9,48.1,33.8,34.3,38.4,34.5,67.0,0.9,2024,10–8,Colorado St.,R,0.6468585008386127
42,Indiana St.,MVC,33,27–6,118.1,101.4,0.8524,59.9,49.0,16.5,15.5,23.4,23.1,32.5,25.5,62.0,48.7,38.4,33.0,49.3,33.9,71.5,1.9,2024,17–3,,Indiana St.,0.5547778925711293
43,Utah,P12,31,18–13,113.8,98.0,0.8476,53.7,49.1,16.4,14.6,28.7,26.0,27.3,26.5,53.8,47.8,35.7,34.2,39.6,37.1,70.8,-1.0,2024,9–11,,Utah,0.7072388004895811
44,Pittsburgh,ACC,31,21–10,114.9,99.0,0.8474,51.7,49.0,13.5,16.5,31.3,23.5,30.8,30.0,50.1,50.5,35.7,31.0,44.5,38.6,66.9,0.36,2024,12–8,,Pittsburgh,0.6538386372803422
45,South Carolina,SEC,31,25–6,114.8,99.1,0.8455,51.3,47.4,15.6,15.0,33.1,28.2,31.1,31.4,51.5,46.2,33.9,33.4,42.2,31.6,63.9,4.7,2024,13–5,South Carolina,R,0.6445008137169941
46,Washington St.,P12,31,23–8,113.1,97.7,0.8422,52.1,47.2,15.7,15.8,32.6,25.1,32.5,32.8,52.3,46.4,34.5,32.5,31.7,31.4,66.1,2.0,2024,14–6,Washington St.,R,0.6584109930500891
47,Florida Atlantic,Amer,31,24–7,117.8,102.3,0.8351,55.1,49.7,15.7,16.7,34.2,29.7,33.5,27.1,55.5,49.8,36.2,33.0,39.3,36.2,68.6,1.6,2024,14–4,Florida Atlantic,R,0.6196349043755554
48,Cincinnati,B12,31,18–13,110.8,96.3,0.8343,50.2,47.6,17.6,17.6,37.8,25.4,28.6,29.6,51.2,46.0,32.1,33.7,35.3,34.1,68.3,-1.8,2024,7–11,,Cincinnati,0.6755802052751284
49,Virginia,ACC,31,22–9,105.0,91.4,0.8321,49.6,46.2,13.3,19.9,25.4,28.2,25.3,26.5,47.0,46.3,36.7,30.7,32.0,40.1,61.2,1.7,2024,13–7,Virginia,R,0.6745608462072633
50,Butler,BE,30,17–13,113.9,99.2,0.8315,51.8,49.9,14.9,16.0,26.4,29.1,27.3,22.8,51.4,50.6,35.0,32.5,38.0,37.7,69.3,-0.27,2024,9–11,,Butler,0.6817119737569102
51,Virginia Tech,ACC,31,18–13,115.4,100.7,0.8276,54.0,51.4,16.2,17.2,25.4,26.3,32.8,29.2,54.7,51.1,35.4,34.6,42.0,34.4,68.5,-1.5,2024,10–10,,Virginia Tech,0.6816596122726251
52,Iowa,B10,31,18–13,118.8,103.7,0.8271,52.8,51.8,13.2,16.6,27.7,30.5,32.7,32.7,53.3,51.0,34.5,35.5,29.5,35.3,72.6,-0.22,2024,10–10,,Iowa,0.709636132549009
53,Texas A&M,SEC,31,18–13,114.1,99.6,0.8265,45.1,49.5,14.5,16.9,42.0,28.2,37.1,29.9,47.2,49.2,27.8,33.3,38.6,44.6,66.1,-0.6,2024,9–9,Texas A&M,R,0.7149082741031836
54,Utah St.,MWC,29,24–5,114.0,99.6,0.8244,54.6,49.4,16.0,16.6,28.5,25.1,38.7,30.1,57.5,53.2,32.5,28.5,33.1,36.3,69.6,3.4,2024,14–4,Utah St.,R,0.5883377234832801
55,Drake,MVC,33,27–6,114.6,100.2,0.8236,54.9,51.0,13.9,17.4,24.2,22.1,32.6,31.0,55.1,51.9,36.5,33.0,39.6,39.3,68.8,1.6,2024,16–4,Drake,R,0.5447623054010554
56,Seton Hall,BE,31,20–11,111.9,98.0,0.821,49.8,49.2,18.7,17.9,36.1,29.0,32.4,27.3,50.2,48.0,32.5,33.8,30.2,42.3,67.0,1.1,2024,13–7,,Seton Hall,0.6882557263761673
57,Xavier,BE,31,15–16,112.3,98.5,0.8184,49.2,49.1,16.3,16.0,32.9,29.2,32.8,30.5,48.1,48.5,34.5,33.4,31.9,35.8,71.8,-2.3,2024,9–11,,Xavier,0.7311426903953805
58,Providence,BE,31,19–12,107.9,94.7,0.8175,52.1,47.5,18.0,17.3,26.9,27.9,32.1,26.7,54.0,45.5,33.2,34.2,43.9,34.1,68.9,0.2,2024,10–10,,Providence,0.6828267746141324
59,SMU,Amer,30,19–11,111.3,98.0,0.8123,51.0,46.3,16.4,19.0,38.5,31.5,28.4,33.2,50.6,45.8,34.5,31.3,35.6,36.9,68.4,-3.6,2024,11–7,,SMU,0.5520113701115512
60,Washington,P12,31,17–14,114.4,101.1,0.8063,53.5,49.9,15.8,15.8,27.2,29.0,32.3,33.0,54.0,49.7,35.1,33.4,36.6,34.7,72.1,-3.0,2024,9–11,,Washington,0.7000075942824832
61,Bradley,MVC,32,21–11,111.9,99.1,0.8023,55.7,47.6,18.1,18.5,28.5,27.9,27.5,35.7,55.0,46.2,37.7,33.2,42.1,38.0,67.2,-3.5,2024,13–7,,Bradley,0.5739241542277073
62,Oregon,P12,31,20–11,113.4,100.6,0.8003,52.2,51.9,15.2,17.8,28.6,27.2,32.2,31.2,52.4,51.6,34.7,35.0,36.9,35.6,68.5,-0.35,2024,12–8,Oregon,R,0.7006114112101085
63,North Texas,Amer,28,15–13,109.4,97.0,0.7986,51.0,47.2,18.2,19.6,33.9,31.8,28.8,39.8,47.7,46.5,37.4,32.3,39.0,36.8,62.1,-5.6,2024,10–8,,North Texas,0.5839842940008384
