Away,Home
Bloomfield,Wagner
Coastal Georgia,Georgia Southern
Trinity College of Jacksonville,Jacksonville
App State,East Carolina
Western Carolina,Virginia Tech
UT Arlington,UT Rio Grande Valley
Iowa,Iowa State
Saint John's (MN),St. Thomas-Minnesota
Alabama State,Missouri
Alaska Anchorage,Denver
Saint Joseph's,Syracuse
North Dakota State,Cal State Bakersfield
