Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Ohio St.,61.1,46.1,45.4,26.4,32.7,24.9,16.7,16.5,37.5,25.7,65.4,51.0,79.8,64.0,46.9,39.6,55.1,42.9,25,Ohio St.,B10,6-1,120.03351037299738,99.9412179376144,0.8915498556073547,0.3626433610002354,69.29203577989057,2026,2.1479426393733054,-1.1227182037189471,-0.3796904182338698,-0.4112700050580371,0.334303665084821,-1.359193934999908,1.2738129251557,-1.3371828394408878,2.4814181742597063,-0.19689328400372613,1.0449774042483893,-1.888746061279462,1.1231362618635343,-0.06733085958656958,0.17208182536309155
Vanderbilt,61.2,46.7,37.9,46.7,34.7,24.0,13.2,19.5,40.2,32.8,61.9,44.9,74.6,77.4,45.0,41.6,59.0,43.6,7,Vanderbilt,SEC,8-0,126.07642461622464,99.0728074932855,0.9411373581406486,0.5088585599097475,71.61000959432789,2026,2.1688297863926547,-0.9889958528109962,-1.6766276088589196,0.6783517117059381,0.7297690280923044,-1.5506830663836488,0.2489597634764261,1.3238587765549383,1.8479606042465615,-1.3581724809157705,1.6805150689526527,-0.11202624647466743,0.8227177801254387,0.31487386434963227,1.0579376072169628
Incarnate Word,50.3,56.89999999999999,36.3,45.2,29.1,34.8,15.0,15.3,34.6,30.1,49.5,64.1,68.6,81.1,37.0,38.1,42.5,50.7,165,Incarnate Word,Slnd,5-3,111.2009394116665,112.49929295429575,0.4666761646741917,0.4196882060706661,67.29190728737001,2026,-0.10786923871636336,1.284284112624162,-1.009631339394608,-0.847118691763627,-0.37753398832864943,0.7471865102212456,0.030324422318180784,1.1272300857178084,-0.39628907237143235,2.297001384774597,0.3623628754919593,-0.7876802605553631,-0.4422021429823331,-0.353984402538721,-0.5923035954360244
Coastal Carolina,45.5,44.1,31.8,43.3,23.5,21.9,15.7,13.3,31.4,30.2,44.3,43.4,70.1,69.4,43.8,35.8,42.9,40.4,243,Coastal Carolina,SB,5-3,100.83470543618904,107.11449731036262,0.3329703735366273,0.3252411245626522,70.1579947927575,2026,-1.1104522956451042,-1.568459373412116,-0.7502439012695983,-1.573533169606277,-1.4848370047496033,-1.9974910396123788,-0.5845874746893831,0.8781670773241096,-1.3374260335338175,-1.6437329391728306,-0.3908669493427231,-0.7626560378116342,0.6329797916592725,-0.793519835065354,0.5030237858023043
Houston,50.0,42.5,22.5,40.8,38.5,30.3,14.3,20.4,32.5,24.8,50.8,45.6,76.5,65.3,41.5,38.0,58.8,47.5,3,Houston,B12,7-1,119.16688978066288,91.21795821959792,0.9557922858940506,0.5767511701802291,64.09821577843567,2026,-0.1705306797744091,-1.9250523091666514,-1.2690187775196176,1.00523822673513,1.4811532178065223,-0.21025914669745993,-1.855405395171683,0.5504525925955597,-0.1610048320808367,-1.224910933729142,-0.13194419705580093,-2.113964065973027,0.2693153137657886,-0.37309463873553134,-1.8128307951075435
Sam Houston St.,52.7,54.0,29.8,51.4,37.9,38.8,16.7,19.1,38.2,30.9,49.8,60.8,79.8,66.5,39.7,46.6,46.2,52.8,172,Sam Houston St.,CUSA,5-3,108.87081387918826,110.72356012293768,0.4516370311229843,0.4729279501091974,69.70213350180848,2026,0.3934222897480085,0.6379594165690692,-0.3796904182338698,0.5330688161374086,1.362513608904277,1.5982493163712068,-0.8578816511371895,1.9399620078446116,-0.3419927092274491,1.6687683766090655,1.2097464284309765,-0.5874864786055277,-0.015291668933459644,1.270385674190137,0.32880811615350986
Mississippi Valley St.,45.4,55.50000000000001,30.3,55.00000000000001,26.3,39.4,23.8,13.4,29.0,35.5,46.2,57.6,79.2,73.3,30.1,47.7,46.7,63.5,365,Mississippi Valley St.,SWAC,1-7,92.08579625553772,119.61213867069677,0.0470820657660387,0.5013324257887133,69.25126939962684,2026,-1.1313394426644532,0.9722652938389473,2.2512393113198033,-1.5372124457141447,-0.9311854965391264,1.7259087372937012,-0.7895581070252379,2.4118708658537247,-0.9935490669552529,1.0595727323273383,-0.955789317968734,0.5636277676060301,-1.533195576662786,1.4805982723550482,0.15650221292875188
Little Rock,50.2,60.7,25.8,37.0,34.7,34.300000000000004,25.9,19.1,37.9,42.0,47.7,59.2,60.7,67.2,26.7,40.7,53.1,57.7,230,Little Rock,OVC,2-5,104.80572347193784,110.21305431965718,0.3592708849185146,0.4869158053505099,65.92054100958939,2026,-0.12875638573571097,2.1311923350411854,3.0294016256948324,0.5330688161374086,0.7297690280923044,0.6408036594525021,-1.4044700040328022,0.05232657580816416,-0.7220672512353342,1.3641705544682026,1.139131132352724,2.190202245948448,-2.0707865439835893,0.14288173857834172,-1.1163961191068674
Villanova,55.8,52.1,30.0,30.2,45.8,27.700000000000003,16.3,19.8,36.4,41.2,56.8,46.9,69.2,69.0,45.6,35.0,57.3,48.8,44,Villanova,BE,6-1,117.73976022454885,101.95872074962918,0.8395589951439825,0.4482177482971222,64.87395646041568,2026,1.0409238473478195,0.21450530536055917,-0.5279118114481607,0.7873138833823359,2.9246017927838364,-0.7634499706949343,-0.8305522334924089,-0.8390568226534918,0.9249224307988378,-0.9774252032396905,0.7860546519614671,1.9900084639986129,0.9175867743585219,-0.9464017246398341,-1.5163674079583358
Arkansas,55.50000000000001,46.5,37.8,26.200000000000003,29.7,29.6,13.1,16.400000000000002,35.5,30.7,57.0,46.8,80.0,65.5,39.4,42.2,58.0,57.7,23,Arkansas,SEC,5-2,119.30595518208534,98.601930037817,0.8995201922315244,0.4897661975308275,71.31190838598634,2026,0.9782624062897752,-1.0335699697803138,-1.7136829571624923,-0.4475907289501689,-0.25889437942640486,-0.359195137773703,0.23529505465403558,-1.3633999982191711,0.9611200062281609,-0.9964625671234948,0.5742087637267131,-0.6375349240929866,-0.06272616605000177,0.42953528153049314,0.9440128176692043
Missouri,61.4,47.6,43.2,31.7,40.6,26.4,19.0,19.3,37.9,33.2,63.9,45.5,69.6,71.3,36.6,49.1,50.3,52.4,32,Missouri,SEC,8-1,119.93744706103443,101.70578307137733,0.8694598051741749,0.3102389558435717,69.39485152582517,2026,2.2106040804313514,-0.7884123264490706,0.47258259274830605,0.6057102639216734,1.8963918489643803,-1.0400453826936726,0.9731893310631136,-0.6424281318163618,2.209936358539786,-1.2439482976129463,1.139131132352724,-0.011929355499747963,-0.5054481391377215,1.7481415791103894,0.21137472955144138
San Diego St.,55.8,51.8,34.0,37.5,31.8,34.8,20.3,20.0,40.7,34.4,52.5,52.0,76.0,72.8,37.9,44.9,59.1,56.2,56,San Diego St.,MWC,3-3,114.1173122414713,100.81494710355574,0.8061701267404499,0.5902098895482927,68.2485114955748,2026,1.0409238473478195,0.1476441299065829,0.9543021206947534,0.8599553311666006,0.15634425173145303,0.7471865102212456,-0.28396388059679617,0.11786947275387415,0.14667455906840496,-0.006519645165686117,1.7982072290830715,0.2883613174250051,-0.299898651632709,0.9455116588443648,-0.226719927706082
