Home,Away,Home_Advantage
Purdue,McNeese St.,0
St. John's,Arkansas,0
Texas A&M,Michigan,0
Texas Tech,Drake,0
Auburn,Creighton,0
Wisconsin,BYU,0
Houston,Gonzaga,0
Tennessee,UCLA,0
Florida,Connecticut,0
Duke,Baylor,0
Kentucky,Illinois,0
Alabama,Saint Mary's,0
Maryland,Colorado St.,0
Iowa St.,Mississippi,0
Michigan St.,New Mexico,0
Arizona,Oregon,0
