Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Jacksonville St.,50.4,46.6,22.3,34.5,25.3,24.7,15.0,12.0,37.3,23.8,45.2,52.7,63.0,75.0,48.8,36.2,64.0,32.7,161,Jacksonville St.,CUSA,3-1,104.90495199931168,106.09001758818891,0.4677492866891425,0.1612968133422062,67.83630434403008,2026,-0.036707504958114985,-0.7728955844537836,-0.836686301293928,-1.7113973070428745,-0.959153395812699,-1.1716892582514302,-1.6002326442462764,-0.32329526222846133,-0.9569774895541896,0.12479812446783549,0.8161450580505417,-1.7708374931285762,1.3182626029120081,-0.6072742372932063,-1.0752102025602739
Missouri,63.9,47.4,45.4,29.8,37.0,26.200000000000003,19.0,18.2,44.0,34.0,62.8,43.9,64.4,73.3,34.4,48.7,50.6,54.2,34,Missouri,SEC,5-0,120.31062155590922,101.4259401500677,0.8769222838267258,0.3126391200413821,71.49500134370187,2026,2.3153891228846315,-0.6280303744528182,0.3197673575995078,0.10600865534005574,0.9494550459272619,-0.9122667942864273,0.90554533698921,-0.8143205144222858,1.6767400123291603,-1.225779961080303,2.044758624971197,0.20685268773226217,-0.7880721716450705,1.4728223900718522,0.38539064638266457
Stanford,52.8,52.900000000000006,42.1,28.3,31.3,19.1,14.6,23.6,33.3,35.4,54.4,52.8,76.6,71.4,37.8,35.4,42.4,36.5,94,Stanford,ACC,4-0,109.61158390543618,101.8399526276657,0.6996678267111806,0.3518979308340632,72.30632829466255,2026,0.38144300665837305,0.367917944303824,-0.9523316671832717,1.6889106225768022,0.01962016405394771,-2.140199790387438,0.5475770539555693,-0.9710307012926553,0.4197384773393795,0.14014560271269982,0.08264442108298689,0.4783003596151221,-0.29074312765242705,-0.7404004214445707,0.7092832325820014
Southern Illinois,57.49999999999999,47.2,35.2,35.0,29.7,31.4,15.5,12.0,27.3,36.0,62.4,42.4,66.2,72.0,22.8,41.6,44.8,54.1,137,Southern Illinois,MVC,2-2,108.4789616750527,107.41946399429284,0.5281877972063512,0.3158212942583138,72.7806352137268,2026,1.2003210919073286,-0.6642466769530588,-0.6921295939322485,-1.7113973070428745,-0.2413861185771583,-0.012935585874420178,-0.20090208329658887,-0.27105853327167145,1.6168827963772663,-1.4559921347532812,-1.0176065343683447,0.5946350761363481,-2.4848418511493837,0.2913275057284988,0.8986329078097931
San Diego St.,56.49999999999999,47.2,44.6,35.2,37.0,34.2,21.1,23.8,41.3,30.4,53.5,48.5,72.2,71.0,35.6,44.9,58.6,57.7,51,San Diego St.,MWC,2-1,112.3903243765273,98.40285473789086,0.8217783073140039,0.3122018859344198,68.99365202556642,2026,1.0260917120671251,-0.6642466769530588,0.926905528518562,1.7475366213633483,0.9494550459272619,0.4713196801935848,0.8187651471628731,-0.2501638416889552,0.2850597414476175,-0.5197959618165036,1.5496456950180966,-0.4911556113950929,-0.6125442737653135,0.8404730153528738,-0.6131815059161525
Ohio St.,61.2,50.4,57.9,26.9,29.0,23.1,17.4,16.7,38.0,29.5,65.1,54.4,78.5,64.6,47.8,39.3,62.4,43.5,24,Ohio St.,B10,4-0,120.90063166621384,100.463214336331,0.8937412841161442,0.364727872193775,69.77360103586501,2026,1.844969797316083,-0.08478583694919585,-0.14281410595786692,-0.33368633555904037,-0.35557636722826697,-1.4484065531474322,2.261485803025729,-1.1172935423716672,2.020919004052552,0.3857052546305433,0.9445076695198644,-0.6656576861769313,1.1719893546788778,-0.09141027370667272,-0.3018154139231493
Mississippi Valley St.,42.7,55.60000000000001,26.1,47.2,25.0,40.1,22.6,13.1,26.1,34.2,44.3,59.5,87.0,70.9,31.2,47.5,39.5,62.5,365,Mississippi Valley St.,SWAC,1-5,91.35395146133844,119.32934628613668,0.0442696656538395,0.4597525952554384,68.13060148641833,2026,-1.3782737297276808,0.8568380280570846,1.3605756506036004,-1.388954313716871,-1.0080920738060315,1.4917147051225934,-1.1880267425711748,1.003517653274001,-1.0916562254459528,1.168426645118669,-1.237656725458611,0.2456309265726713,-1.256146565991088,1.2731331138448063,-0.9577228413351404
Vanderbilt,62.3,46.5,30.1,41.1,36.0,23.6,9.8,19.2,40.3,33.3,63.9,43.9,74.7,80.0,46.7,42.9,53.4,48.4,13,Vanderbilt,SEC,4-0,123.5984274191097,99.9634358531483,0.9198774750965816,0.3781339657554767,72.19263380949165,2026,2.036622115140306,-0.7910037357039046,-2.3400760578553945,0.39913864927278647,0.7863261192828208,-1.3619323984924314,-0.7541257934394887,0.36622956000116486,1.84134735619687,-1.225779961080303,1.366270535776208,0.07112885179083152,1.011088781622435,0.5076575549744644,0.6638948712130118
Tennessee,57.8,41.0,30.5,28.4,52.6,27.4,19.7,16.900000000000002,35.9,27.0,60.0,41.4,72.5,62.0,35.1,48.8,68.1,45.3,14,Tennessee,SEC,4-0,117.13969878056427,95.05225972701255,0.9170416673425869,0.2339342359486263,67.74294192413278,2026,1.2525899058593903,-1.7869520544605455,0.5221467479058589,-0.27506033677249336,3.4942663015805433,-0.7047288231144262,-0.7107356985263202,-0.9605833555012976,1.2577395006659005,-1.6094669172019334,0.5594198351118979,-1.1503856716820389,-0.6856808978818787,1.4894631630907718,-1.112481731132769
Little Rock,50.7,60.7,25.0,36.9,36.4,33.1,26.700000000000003,16.3,46.0,43.3,45.3,57.0,61.8,71.1,22.7,46.2,49.0,59.6,203,Little Rock,OVC,2-3,106.15370050153174,109.51399706824722,0.411349435954272,0.4922334059689702,67.78761880936662,2026,0.015561308993946794,1.7803537418132416,2.5459406509693725,-0.4509383331321322,0.851577689940597,0.2810765399525829,-1.3073495035823886,-0.0725589632358702,-0.9420131855662168,0.7847396889970388,2.411508943454974,2.0100407938112617,-2.499469175972697,1.0568030645988407,-1.0946461201197422
