Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Jacksonville St.,50.4,46.6,22.3,34.5,25.3,24.7,15.0,12.0,37.3,23.8,45.2,52.7,63.0,75.0,48.8,36.2,64.0,32.7,161,Jacksonville St.,CUSA,3-1,104.97993998590738,106.17114191014326,0.4676066550522923,0.1603614310898174,67.80797195102532,2026,-0.03654902117249159,-0.7893444240848158,-0.8568250649641913,-1.7293128231449826,-0.9814509346106809,-1.1993698937851984,-1.6272447562393153,-0.328869961006387,-0.9740174109415575,0.11898014882997253,0.8378074876710158,-1.829271853933588,1.3384444808537688,-0.5958962030174286,-1.072915467222097
Ohio St.,60.0,47.9,52.6,26.3,33.6,23.7,17.299999999999997,17.8,36.4,28.2,64.8,51.3,78.5,66.2,47.1,38.5,61.7,43.4,22,Ohio St.,B10,5-0,120.81886295207828,99.84055078729988,0.8996423532661287,0.3393999745014511,69.92428395784731,2026,1.6597128356276265,-0.5504618874254346,-0.18306650179686493,-0.020502495195987375,0.3994266459220414,-1.3747093463552298,1.6976233099067306,-1.2233699549105277,1.9996182984750337,-0.09769432035077076,0.6703173710084498,-0.9497931695193437,1.087559425006939,-0.21105516721995868,-0.2356293351940644
Stanford,52.8,52.900000000000006,42.1,28.3,31.3,19.1,14.6,23.6,33.3,35.4,54.4,52.8,76.6,71.4,37.8,35.4,42.4,36.5,93,Stanford,ACC,4-0,109.69853112951218,101.9076138587535,0.6999788589639585,0.3527151272284025,72.29515718164545,2026,0.3875164430275376,0.3683170997260349,-0.9740004672541613,1.6883078327530077,0.016773822400925526,-2.181270828177374,0.5454413067868137,-1.0051992246900054,0.4217707791927606,0.1344568966285961,0.09340696917072143,0.4893537686130564,-0.2849294099198408,-0.7297539545991581,0.7023700073810194
Southern Illinois,57.49999999999999,47.2,35.2,35.0,29.7,31.4,15.5,12.0,27.3,36.0,62.4,42.4,66.2,72.0,22.8,41.6,44.8,54.1,138,Southern Illinois,MVC,2-2,108.56228382245268,107.50590353356624,0.528082997560356,0.315390489555379,72.74482623381854,2026,1.2179779770859278,-0.6790909456266393,-0.7103558121017288,-1.7293128231449826,-0.24941944613550307,-0.02459556156598836,-0.21170686669198868,-0.27432727845125643,1.6354996401791246,-1.4751248744283474,-1.0231938085797194,0.60928268012409,-2.498621079156581,0.30764362015924085,0.8802746169910663
San Diego St.,56.49999999999999,47.2,44.6,35.2,37.0,34.2,21.1,23.8,41.3,30.4,53.5,48.5,72.2,71.0,35.6,44.9,58.6,57.7,50,San Diego St.,MWC,2-1,112.51209257064396,98.4490132912038,0.8228099130889838,0.3218413847154789,68.93171652283526,2026,1.041284033669249,-0.6790909456266393,0.9300998199578507,1.7472323268202143,0.9650873415619514,0.46635490563010024,0.8197703551486987,-0.25251020542920394,0.28522628233179487,-0.5310432587122551,1.58220800617131,-0.5100538273122215,-0.6096041880745621,0.8598068454338719,-0.6283232979742553
Mississippi Valley St.,42.7,55.60000000000001,26.1,47.2,25.0,40.1,22.6,13.1,26.1,34.2,44.3,59.5,87.0,70.9,31.2,47.5,39.5,62.5,365,Mississippi Valley St.,SWAC,1-5,91.43854183695017,119.41765249182085,0.0443601510487023,0.4593643514368719,68.04541592008009,2026,-1.3970923854809187,0.8644577527878282,1.369507578545238,-1.4052281057753457,-1.0313621724612614,1.500857675793285,-1.21026460272925,1.056514175893929,-1.1105619078025242,1.1713989991364353,-1.2465139641298075,0.24949594559099056,-1.2589537443840062,1.2948445380744908,-0.9789744312206073
Little Rock,50.7,60.7,25.0,36.9,36.4,33.1,26.700000000000003,16.3,46.0,43.3,45.3,57.0,61.8,71.1,22.7,46.2,49.0,59.6,203,Little Rock,OVC,2-3,106.21681226657434,109.59691754558617,0.4108969373332366,0.4922256549940346,67.75410337632127,2026,0.016459161852512845,1.8016123196823246,2.5705554520174303,-0.46243620070003777,0.8652648658607905,0.27348150780306546,-1.3309693840084798,-0.06706508474176058,-0.9588458001792287,0.7844803041708238,2.456878615409156,2.068417770174995,-2.513379023618159,1.077325691754182,-1.0942277361155441
Stetson,43.0,54.400000000000006,42.8,30.8,22.2,33.1,21.4,18.3,29.3,34.0,42.3,56.7,64.2,74.0,44.6,40.0,50.6,64.7,361,Stetson,ASun,2-3,95.78991921499048,114.0510676771702,0.1185094195675178,0.3904463729759542,70.82612406926187,2026,-1.3440842024559156,0.6439507958714753,1.0179813716753274,0.12680873997202943,-1.497200392400011,0.27348150780306546,0.622253440328141,-0.7324858119143529,-1.4139941230491153,0.7380500607749508,-0.6509935493295722,0.20951964175397889,0.7186108134674821,0.03992811699578292,0.1211697644471731
Incarnate Word,48.9,57.7,33.1,47.5,23.4,30.7,11.8,14.8,31.6,32.9,49.6,64.1,64.4,79.2,32.0,43.2,38.5,62.2,176,Incarnate Word,Slnd,3-2,109.58951697334984,111.98719494052756,0.4380961512776855,0.39113656152085,69.23666818324283,2026,-0.30158993629751,1.2503449273914438,-1.7942282832839507,-0.9043699062040882,-1.29755544099769,-0.1473331783650102,-0.4421432673159722,1.0892397854270068,-0.3064665373990574,1.8833293978731593,-0.22296325119190286,-0.010350029349582547,-1.14089018869138,0.5753591233226988,-0.507673887407614
St. Bonaventure,54.0,49.5,28.7,30.4,44.0,29.8,18.6,18.6,37.5,32.7,53.0,49.7,74.7,74.1,29.0,38.2,54.4,51.2,123,St. Bonaventure,A10,5-0,108.6092768505257,105.3753353464372,0.5860414357763368,0.3535894704758188,67.32981360633107,2026,0.5995491751275529,-0.25645261153696447,0.19775355564553865,0.21519548107283973,2.1296828914088257,-0.3051386856780382,-0.92496239243289,-0.7761199579584576,0.2093682285201471,-0.34532228512876123,0.8750275135960309,-0.05032633318659281,-1.583628522538728,-0.2612518240631065,-1.2620914250371167
New Mexico St.,50.0,49.1,46.400000000000006,30.9,30.8,28.1,12.2,19.8,31.2,28.6,54.2,55.6,76.9,82.4,57.1,50.9,65.2,43.5,118,New Mexico St.,CUSA,3-0,110.10201954151285,105.8106279931798,0.6123494462582381,0.2068328543619307,68.79540756985993,2026,-0.10722659853916292,-0.3299549305090817,-1.677052880993981,0.5687424454760799,-0.06641157401670834,-0.6032157550470914,1.0172872699692563,-0.721577275403327,0.39142755766810217,0.5678058349900816,-0.2974033030419327,-0.869840561845321,2.563353871164766,1.8637399822968381,-0.682251828186059
Missouri,64.8,47.5,46.7,30.8,38.8,27.0,19.7,19.0,45.0,34.1,63.6,44.0,67.3,70.3,32.0,48.9,49.5,51.8,33,Missouri,SEC,6-0,120.47192643162012,101.6444081936746,0.8759111211768766,0.2981360225516445,71.3322784212693,2026,2.507843764027685,-0.6239642063975518,0.5199859119429554,0.3330444692072527,1.2645547686654328,-0.7960891528741262,1.0502067557726822,-0.7324858119143529,1.8175589693270797,-1.2274969096503558,2.2707784857840827,0.22950779367248472,-1.14089018869138,1.529095603342516,0.3214219097997192
East Carolina,45.1,58.1,47.0,56.6,30.9,28.1,16.3,16.7,23.1,40.3,50.8,56.4,68.6,72.3,35.5,43.4,45.3,57.3,171,East Carolina,Amer,2-2,105.89957057587512,107.77142841281992,0.4497957686619449,0.4245728061189839,70.70709513462316,2026,-0.9730269212808895,1.3238472463635609,-0.47600500752178876,-0.34458721256562475,-0.04977449473318192,-0.6032157550470914,1.083126241576108,2.0819166079303826,-0.12440720825110343,0.6916198173790769,-1.8048143530050282,1.4687732126198285,-0.6243621325361406,0.6088235612181303,0.07407780637964852
Houston Christian,50.0,53.5,20.200000000000003,17.4,23.3,18.8,18.6,19.4,30.0,34.7,53.6,54.5,54.2,80.0,42.0,42.6,61.5,60.4,251,Houston Christian,Slnd,3-1,103.97555847943764,110.6595479771453,0.3281688676791199,0.1777824304407062,68.43024551446365,2026,-0.10722659853916292,0.47857057818421,0.19775355564553865,0.45089345734166575,-1.3141925202812164,-2.2338726639483832,-1.8576811568632985,-2.1942297043918515,0.3003978930941246,0.39756160920521233,-0.5207234585920208,0.3494367051835183,0.3349042574664469,0.4749658096364019,-0.8267225508113537
Rutgers,51.5,44.2,52.2,25.4,41.0,28.3,15.5,18.1,36.5,33.0,50.0,40.6,68.9,72.1,32.5,40.4,51.0,47.8,101,Rutgers,B10,4-0,109.62351126123497,103.06977270600704,0.6701637187257604,0.1961038042305282,70.26524171611374,2026,0.1578143165858555,-1.2303583379175203,-0.7103558121017288,0.06788424590482292,1.6305705129030224,-0.5681478645330852,1.6537306621688292,-1.321546783509763,-0.2457800943497394,-1.753706334803587,0.6889273839709574,0.009638122568923295,-1.0671004663834887,0.1068569927866471,-0.10073466858366095
