Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Alabama St.,spreads,fanduel,-3.5,0.5464480874316939,-120.48192771084337
St.. Francis (PA),spreads,fanduel,3.5,0.5050505050505051,-102.04081632653062
Alabama St.,spreads,draftkings,-3.5,0.5291005291005292,-112.35955056179776
St.. Francis (PA),spreads,draftkings,3.5,0.5181347150259068,-107.52688172043011
Alabama St.,spreads,betmgm,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,betmgm,3.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betrivers,-4.0,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,betrivers,4.0,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,lowvig,-3.5,0.5208333333333334,-108.69565217391305
St.. Francis (PA),spreads,lowvig,3.5,0.5076142131979695,-103.09278350515464
Alabama St.,spreads,betonlineag,-3.5,0.5319148936170213,-113.63636363636365
St.. Francis (PA),spreads,betonlineag,3.5,0.5181347150259068,-107.52688172043011
Alabama St.,spreads,bovada,-4.0,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,bovada,4.0,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betus,-3.5,0.53475935828877,-114.94252873563217
St.. Francis (PA),spreads,betus,3.5,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,betonlineag,-6.0,0.5291005291005292,-112.35955056179776
Jacksonville,spreads,betonlineag,6.0,0.5181347150259068,-107.52688172043011
Georgia Tech,spreads,lowvig,-6.0,0.5181347150259068,-107.52688172043011
Jacksonville,spreads,lowvig,6.0,0.5102040816326531,-104.16666666666667
Kent St.,spreads,fanduel,4.5,0.5050505050505051,-102.04081632653062
St.. Bonaventure,spreads,fanduel,-4.5,0.5464480874316939,-120.48192771084337
Kent St.,spreads,betmgm,4.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betmgm,-4.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,lowvig,4.5,0.5154639175257733,-106.38297872340426
St.. Bonaventure,spreads,lowvig,-4.5,0.5154639175257733,-106.38297872340426
Kent St.,spreads,betonlineag,4.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betonlineag,-4.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,betus,4.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betus,-4.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,draftkings,4.5,0.5181347150259068,-107.52688172043011
St.. Bonaventure,spreads,draftkings,-4.5,0.5291005291005292,-112.35955056179776
Georgia Tech,spreads,fanduel,-5.5,0.5464480874316939,-120.48192771084337
Jacksonville St.,spreads,fanduel,5.5,0.5050505050505051,-102.04081632653062
Georgia Tech,spreads,betmgm,-5.5,0.53475935828877,-114.94252873563217
Jacksonville St.,spreads,betmgm,5.5,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,betus,-6.0,0.5235602094240838,-109.8901098901099
Jacksonville St.,spreads,betus,6.0,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,draftkings,-5.5,0.5291005291005292,-112.35955056179776
Jacksonville St.,spreads,draftkings,5.5,0.5181347150259068,-107.52688172043011
Chattanooga,spreads,fanduel,2.5,0.5235602094240838,-109.8901098901099
Middle Tennessee Blue,spreads,fanduel,-2.5,0.5235602094240838,-109.8901098901099
Chattanooga,spreads,lowvig,2.5,0.5076142131979695,-103.09278350515464
Middle Tennessee Blue,spreads,lowvig,-2.5,0.5208333333333334,-108.69565217391305
Chattanooga,spreads,betonlineag,2.5,0.5181347150259068,-107.52688172043011
Middle Tennessee Blue,spreads,betonlineag,-2.5,0.5319148936170213,-113.63636363636365
Chattanooga,spreads,betmgm,2.5,0.5235602094240838,-109.8901098901099
Middle Tennessee Blue,spreads,betmgm,-2.5,0.5235602094240838,-109.8901098901099
Chattanooga,spreads,betus,2.5,0.5235602094240838,-109.8901098901099
Middle Tennessee Blue,spreads,betus,-2.5,0.5235602094240838,-109.8901098901099
Chattanooga,spreads,draftkings,2.5,0.5181347150259068,-107.52688172043011
Middle Tennessee Blue,spreads,draftkings,-2.5,0.5291005291005292,-112.35955056179776
Arkansas St. Red,spreads,fanduel,-4.5,0.5464480874316939,-120.48192771084337
Saint Louis,spreads,fanduel,4.5,0.5050505050505051,-102.04081632653062
Arkansas St. Red,spreads,lowvig,-5.5,0.5154639175257733,-106.38297872340426
Saint Louis,spreads,lowvig,5.5,0.5154639175257733,-106.38297872340426
Arkansas St. Red,spreads,betonlineag,-5.5,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,betonlineag,5.5,0.5235602094240838,-109.8901098901099
Arkansas St. Red,spreads,betmgm,-5.5,0.5128205128205129,-105.26315789473685
Saint Louis,spreads,betmgm,5.5,0.53475935828877,-114.94252873563217
Arkansas St. Red,spreads,betus,-5.0,0.5235602094240838,-109.8901098901099
Saint Louis,spreads,betus,5.0,0.5235602094240838,-109.8901098901099
Arkansas St. Red,spreads,draftkings,-5.5,0.5050505050505051,-102.04081632653062
Saint Louis,spreads,draftkings,5.5,0.5405405405405405,-117.6470588235294
Oklahoma St.,spreads,fanduel,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,fanduel,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,lowvig,-6.5,0.5154639175257733,-106.38297872340426
Wichita St.,spreads,lowvig,6.5,0.5154639175257733,-106.38297872340426
Oklahoma St.,spreads,betonlineag,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betonlineag,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,betmgm,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betmgm,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,betus,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betus,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,draftkings,-6.5,0.5181347150259068,-107.52688172043011
Wichita St.,spreads,draftkings,6.5,0.5291005291005292,-112.35955056179776
North Carolina,spreads,draftkings,-4.5,0.5181347150259068,-107.52688172043011
San Diego St.,spreads,draftkings,4.5,0.5291005291005292,-112.35955056179776
North Carolina,spreads,fanduel,-4.5,0.5102040816326531,-104.16666666666667
San Diego St.,spreads,fanduel,4.5,0.5405405405405405,-117.6470588235294
North Carolina,spreads,betmgm,-4.5,0.5235602094240838,-109.8901098901099
San Diego St.,spreads,betmgm,4.5,0.5235602094240838,-109.8901098901099
North Carolina,spreads,betrivers,-4.5,0.5319148936170213,-113.63636363636365
San Diego St.,spreads,betrivers,4.5,0.5181347150259068,-107.52688172043011
North Carolina,spreads,lowvig,-4.5,0.5154639175257733,-106.38297872340426
San Diego St.,spreads,lowvig,4.5,0.5154639175257733,-106.38297872340426
North Carolina,spreads,betonlineag,-4.5,0.5235602094240838,-109.8901098901099
San Diego St.,spreads,betonlineag,4.5,0.5235602094240838,-109.8901098901099
North Carolina,spreads,betus,-4.5,0.5235602094240838,-109.8901098901099
San Diego St.,spreads,betus,4.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,fanduel,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,fanduel,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,lowvig,-10.5,0.5154639175257733,-106.38297872340426
UC Riverside,spreads,lowvig,10.5,0.5154639175257733,-106.38297872340426
Santa Clara,spreads,betonlineag,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,betonlineag,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,betmgm,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,betmgm,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,betus,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,betus,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,draftkings,-10.5,0.5291005291005292,-112.35955056179776
UC Riverside,spreads,draftkings,10.5,0.5181347150259068,-107.52688172043011
CSU Northridge,spreads,fanduel,6.5,0.5128205128205129,-105.26315789473685
St.anford,spreads,fanduel,-6.5,0.53475935828877,-114.94252873563217
CSU Northridge,spreads,lowvig,6.5,0.5154639175257733,-106.38297872340426
St.anford,spreads,lowvig,-6.5,0.5154639175257733,-106.38297872340426
CSU Northridge,spreads,betonlineag,6.5,0.5235602094240838,-109.8901098901099
St.anford,spreads,betonlineag,-6.5,0.5235602094240838,-109.8901098901099
CSU Northridge,spreads,betmgm,6.5,0.5235602094240838,-109.8901098901099
St.anford,spreads,betmgm,-6.5,0.5235602094240838,-109.8901098901099
CSU Northridge,spreads,betus,6.5,0.5235602094240838,-109.8901098901099
St.anford,spreads,betus,-6.5,0.5235602094240838,-109.8901098901099
CSU Northridge,spreads,draftkings,6.5,0.5128205128205129,-105.26315789473685
St.anford,spreads,draftkings,-6.5,0.53475935828877,-114.94252873563217
American,spreads,fanduel,-2.5,0.5235602094240838,-109.8901098901099
Mt. St.. Mary's,spreads,fanduel,2.5,0.5235602094240838,-109.8901098901099
American,spreads,draftkings,-2.5,0.5181347150259068,-107.52688172043011
Mt. St.. Mary's,spreads,draftkings,2.5,0.5291005291005292,-112.35955056179776
American,spreads,betrivers,-2.5,0.5291005291005292,-112.35955056179776
Mt. St.. Mary's,spreads,betrivers,2.5,0.5208333333333334,-108.69565217391305
American,spreads,betonlineag,-2.5,0.5235602094240838,-109.8901098901099
Mt. St.. Mary's,spreads,betonlineag,2.5,0.5235602094240838,-109.8901098901099
American,spreads,lowvig,-2.5,0.5154639175257733,-106.38297872340426
Mt. St.. Mary's,spreads,lowvig,2.5,0.5154639175257733,-106.38297872340426
American,spreads,betus,-2.5,0.5235602094240838,-109.8901098901099
Mt. St.. Mary's,spreads,betus,2.5,0.5235602094240838,-109.8901098901099
American,spreads,betmgm,-2.5,0.5235602094240838,-109.8901098901099
Mt. St.. Mary's,spreads,betmgm,2.5,0.5235602094240838,-109.8901098901099
Dayton,spreads,fanduel,-1.5,0.5050505050505051,-102.04081632653062
Florida Atlantic,spreads,fanduel,1.5,0.5464480874316939,-120.48192771084337
Dayton,spreads,lowvig,0.0,0.5154639175257733,-106.38297872340426
Florida Atlantic,spreads,lowvig,0.0,0.5154639175257733,-106.38297872340426
Dayton,spreads,betonlineag,0.0,0.5291005291005292,-112.35955056179776
Florida Atlantic,spreads,betonlineag,0.0,0.5181347150259068,-107.52688172043011
Dayton,spreads,betmgm,-1.5,0.5,1.0
Florida Atlantic,spreads,betmgm,1.5,0.5464480874316939,-120.48192771084337
