Home,Away,Home_Advantage
Notre Dame,Rutgers,0
Creighton,Iowa St.,0
Syracuse,Kansas,0
Baylor,St. John's,0
Seton Hall,USC,0
Tennessee,Houston,0
Kansas St.,Indiana,0
Auburn,Michigan,0
Maryland,Gonzaga,0
San Diego St.,Oregon,0
,,0
,,0
,,0
,,0
,,0
,,0
