Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Vanderbilt,61.2,46.3,35.8,45.7,33.4,25.9,12.6,19.5,38.8,31.1,63.7,46.1,75.1,77.0,44.3,40.1,58.6,44.2,7,Vanderbilt,SEC,9-0,126.81970402590412,98.80499049408265,0.9463743425245476,0.5393565608387659,70.83978092570445,2026,2.2266057143327087,-1.1204032675045608,-1.8978919824016431,0.699312227745994,0.47377058671328026,-1.1701434438682436,-0.029131053951830976,1.2633324697545503,2.2263174383030497,-1.1660586240383557,1.3830067084992073,-0.5771675483203343,0.7144892803794174,0.027893609019813675,0.8074263629518276
Ohio St.,61.1,46.1,45.4,26.4,32.7,24.9,16.7,16.5,37.5,25.7,65.4,51.0,79.8,64.0,46.9,39.6,55.1,42.9,26,Ohio St.,B10,6-1,119.60908066050528,99.57430282663816,0.8917008419747571,0.3619400811269631,69.35117241197864,2026,2.205071239353073,-1.1668217910731369,-0.3613223266647582,-0.409180663657978,0.3335871647037349,-1.38862129798452,1.3104386710771996,-1.3521039728310231,2.5407719170235534,-0.1877793065167326,1.064104636780443,-1.9800498244818567,1.1264525388277242,-0.0692549338449897,0.23918865528977998
Incarnate Word,50.3,56.89999999999999,36.3,45.2,29.1,34.8,15.0,15.3,34.6,30.1,49.5,64.1,68.6,81.1,37.0,38.1,42.5,50.7,170,Incarnate Word,Slnd,5-3,110.93348519405735,112.29273638936743,0.4650442464142518,0.4197205822526539,67.10283933356553,2026,-0.12065205844754692,1.339778481630025,-0.9984365741654176,-0.8525778202195666,-0.38735614848821714,0.7743094577666173,0.04063820256009769,1.195575048962178,-0.40030232512703545,2.4276205015512797,0.35270770756166,-0.8369605624243198,-0.442176791417751,-0.3607005624393998,-0.6190542089409057
Houston,50.0,42.5,22.5,40.8,38.5,30.3,14.3,20.4,32.5,24.8,50.8,45.6,76.5,65.3,41.5,38.0,58.8,47.5,3,Houston,B12,7-1,118.81641456546042,90.79442915452964,0.9566150649654588,0.5804704399444739,63.989563787285775,2026,-0.1852554833864524,-2.0023552153075252,-1.260777734900983,1.0318600951671852,1.4951069470685456,-0.20884088575662638,-1.8849932771691331,0.5993097459893005,-0.15983713551723946,-1.2658830441936233,-0.16244179290711455,-2.213863537175443,0.2708365405120106,-0.38013027101236074,-1.807466436485218
Sam Houston St.,52.7,54.0,29.8,51.4,37.9,38.8,16.7,19.1,38.2,30.9,49.8,60.8,79.8,66.5,39.7,46.6,46.2,52.8,176,Sam Houston St.,CUSA,5-3,108.84877619047631,110.47335651474036,0.4575100909766952,0.4790967795448599,69.76056910607133,2026,0.396175341063703,0.6667098898856588,-0.3613223266647582,0.5515131755587983,1.37494972820322,1.6482208742317235,-0.8663621320949745,2.0357670667875944,-0.34481035829400597,1.7687793285265137,1.2358211369367018,-0.6291261511411321,-0.014368792259893608,1.2908246662622576,0.39546522957417346
San Diego St.,54.900000000000006,51.7,36.2,36.1,32.5,34.5,20.0,21.0,40.0,34.7,51.9,51.3,76.5,72.2,36.4,45.5,58.2,57.9,54,San Diego St.,MWC,4-3,114.10532365419314,100.39660381722418,0.8133498965174919,0.5995620005931611,68.34205951184981,2026,0.8699337906156815,0.13289686884702268,0.875428859660052,1.25355867344798,0.2935347584152926,0.7087661015317349,0.026684351257712745,-0.03761000945899902,0.04363340953720398,-0.12788465442357255,1.6773778516242217,0.3580873024540139,-0.5372452356750528,1.0770978719596898,-0.14601403289464676
Little Rock,48.4,60.5,24.2,34.5,33.2,34.599999999999994,26.4,19.2,35.5,40.7,46.6,60.1,57.0,67.7,27.9,44.7,52.1,59.6,291,Little Rock,OVC,2-6,101.75122989206768,111.39261274637184,0.26093854467598,0.464759734125767,65.98242510864077,2026,-0.5298070830606185,2.1753119058644153,3.2739766149566525,0.5884629386055966,0.43371818042483934,0.7306138869433614,-1.6477778050285756,-0.2544337559945907,-0.9367246711796581,1.6290251403091398,0.57348606490542,1.916845387077927,-1.8840481959868247,0.921660203376005,-1.0467432923586184
Villanova,55.8,52.1,30.0,30.2,45.8,27.700000000000003,16.3,19.8,36.4,41.2,56.8,46.9,69.2,69.0,45.6,35.0,57.3,48.8,41,Villanova,BE,6-1,117.54813075574536,101.595788963152,0.8425369299400728,0.4525335763134798,64.81773207892459,2026,1.063744065432398,0.22573391598417658,-0.5112315613707953,0.8101615168863915,2.9570197765966695,-0.7768833064589449,-0.8384544294902031,-0.837147574808993,0.9500022011433598,-1.006339551789928,0.79426442224918,2.04674189412992,0.9204709096035714,-0.963021528201181,-1.4913346615691994
Missouri,61.4,47.6,43.2,31.7,40.6,26.4,19.0,19.3,37.9,33.2,63.9,45.5,69.6,71.3,36.6,49.1,50.3,52.4,35,Missouri,SEC,8-1,119.67518184963032,101.5542049420082,0.8685465562284469,0.3077401875272972,69.49286764234229,2026,2.2696746642919785,-0.8186828643088085,0.5006557728949581,0.6254127016523962,1.9156572130971843,-1.0609045168101054,1.003453942424714,-0.633875312431876,2.2633120828584024,-1.2858479282246773,1.1622283511554472,-0.0316022187019644,-0.5055557542559519,1.7765673805862743,0.2932771360058845
Arkansas,54.3,46.6,39.7,26.1,31.7,29.7,13.1,15.8,35.3,29.3,55.1,48.6,79.5,67.2,37.7,43.6,57.1,55.9,19,Arkansas,SEC,6-2,119.98037534576602,97.94395750724816,0.9116319997441036,0.5523112237179275,71.36216458720207,2026,0.7407269407378676,-1.0507754821516941,-1.7105054390190961,-0.6678290049855713,0.13332513326152537,-0.3399275982263926,0.5150691468412134,-1.392758425306446,0.6355477224228574,-0.6669365232620172,0.524424207717917,-1.0447949737075084,-0.3312636064508988,0.7079334090734373,1.0068327828348962
