Home,Away,Home_Advantage
Michigan St.,Iowa,3
Syracuse,Tennessee,3
Duke,Florida,3
Rutgers,Purdue,2.5
Kansas,Connecticut,3
Kentucky,North Carolina,3
Oregon,USC,3
Wake Forest,Oklahoma,3
Pittsburgh,Texas A&M,2
Florida St.,Georgia,2
Notre Dame,Missouri,2
