Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Vanderbilt,61.2,46.3,35.8,45.7,33.4,25.9,12.6,19.5,38.8,31.1,63.7,46.1,75.1,77.0,44.3,40.1,59.0,44.2,7,Vanderbilt,SEC,9-0,126.88982404046516,98.22128330364204,0.950031719104717,0.5508139940918474,70.88941989453971,2026,2.2721111227830075,-1.1622842464394776,-1.980687763517936,0.719890854652063,0.4786606372202903,-1.2246856007888716,-0.006977790670882905,1.3211015815314344,2.2598720862908066,-1.194190259825879,1.4553911600361864,-0.6222346121799636,0.723561708868958,0.04329017569129749,0.8053967811340803
Ohio St.,61.0,47.1,43.7,26.8,32.6,26.3,16.5,16.900000000000002,36.9,26.8,65.5,51.5,77.8,67.4,43.7,39.4,58.8,47.1,27,Ohio St.,B10,7-1,119.31044169422596,99.61939221125456,0.8883778883547261,0.4160534074824168,69.8181129666892,2026,2.2281852456741196,-0.9684817110578371,-0.44809601955545264,-0.2569127213628176,0.31440055252370536,-1.1336401821243898,1.1427627464427434,-1.3094711591799513,2.5981577916207352,-0.07787581727581684,0.9656945080129485,-1.822427833043246,0.628144105302811,-0.09778941473123368,0.4002314088567249
San Diego St.,54.900000000000006,51.7,36.2,36.1,32.5,34.5,20.0,21.0,40.0,34.7,51.9,51.3,76.5,72.2,36.4,45.5,58.2,57.9,52,San Diego St.,MWC,4-3,113.66290451673808,99.90047015438292,0.8152092956478866,0.6043021810602278,68.39009154867188,2026,0.888445993853049,0.14588286738659048,0.9273068275903656,1.2834313792760332,0.29386804193663185,0.7327909004974792,0.05123692006904833,-0.015062350258475814,0.04222135135015846,-0.11922079662952345,1.764673256050864,0.3825783169148779,-0.5327700714186567,1.1316184446651048,-0.1398424153758005
Houston,50.9,42.9,21.5,39.6,38.3,31.8,14.8,21.2,33.2,25.9,51.6,45.7,76.6,66.0,41.8,40.0,60.5,47.3,4,Houston,B12,8-1,118.60528943444822,90.80169286703216,0.9557193402012624,0.58084952498872,63.93947550399017,2026,0.009928451675295604,-1.9859450218114454,-1.1161488310262784,1.3585701158925623,1.4847536559868764,0.1182343245122298,-2.0881536996233945,0.4720807498732622,-0.01415959953816254,-1.2768802185332906,0.012074711967696017,-2.073631065316957,0.3259883606766748,0.02313594848807855,-1.823053323219991
Arkansas,54.2,45.7,38.1,25.5,30.9,29.6,12.8,16.6,35.5,27.7,54.9,48.8,78.3,68.0,38.6,43.5,57.4,55.4,19,Arkansas,SEC,7-2,119.05228232288408,96.70562009029186,0.916119148934255,0.529976658805144,71.54794471923184,2026,0.7347054239719418,-1.307636147975706,-1.9020933151096031,-0.3696208262876119,-0.03465212745653947,-0.3825154781424179,0.32775679608371755,-1.4904100249431684,0.6060308602333738,-0.6360330385508486,0.6048653959958259,-1.5712246007695363,-0.182905525009447,0.7285339006007315,1.0544490824065067
Long Beach St.,48.3,56.49999999999999,27.3,46.8,29.8,28.6,17.4,18.7,31.0,36.3,49.5,57.7,67.6,78.6,38.7,37.4,48.3,53.8,302,Long Beach St.,BW,2-8,101.56248962684684,112.47727934517786,0.2361534434268145,0.4955973915208497,67.91132100662553,2026,-0.5611079507402434,1.3086980796764252,-0.09442100171795703,0.4193359081859454,-0.2605097439143441,-0.6101290248036214,-1.2440403938944036,1.4742036987156941,-0.40882625575641357,1.2038185426890702,-0.5549424640592122,0.8291618409570279,-0.16700259108175547,-0.5008739587956068,-0.32091213485651604
Villanova,57.2,51.8,28.9,28.9,44.5,28.3,16.1,20.0,38.0,42.5,57.4,45.4,69.2,65.6,46.4,35.3,57.7,52.6,37,Villanova,BE,7-1,117.77707585043936,101.36390354553842,0.84888478801477,0.4311205455473338,64.5182269900178,2026,1.3935935806052557,0.17010818430929406,-0.605284916372117,0.9077376961933864,2.7577693123854146,-0.6784130888019826,-1.0111815509346822,-1.0171852991009087,1.0758721176360533,-1.3388976875638505,1.2492030960264027,2.559672996620366,1.0575233213504762,-0.9241127300631989,-1.604171082102648
Virginia,57.9,44.3,43.5,38.3,43.3,30.6,15.7,15.7,39.8,30.9,56.4,43.2,68.9,70.6,45.2,33.5,58.0,47.1,21,Virginia,ACC,8-1,122.84985026205123,100.438367958426,0.9102191620218468,0.493482473556374,66.9265236175999,2026,1.5473341504863614,-1.6467905848935764,-0.7624738131887828,-0.7077451410619948,2.5113791853405356,-0.1549019314812143,1.1136553910727778,0.29114188411004466,0.8879356146749816,-1.7936924604546158,1.713126240048417,-0.6780575526852333,0.8666881142181809,-1.2868888197211341,-0.6933598343621169
Northwestern,55.8,47.2,39.8,33.6,31.4,35.9,14.3,16.5,35.5,29.2,57.0,49.4,74.3,75.1,32.1,39.3,63.7,62.3,63,Northwestern,B10,5-4,115.26149665207974,102.4420446965205,0.7950960208629935,0.5997539317991711,67.44203640070953,2026,1.0861124408430414,-0.9442563941351318,-1.3126349520471094,-0.40719019459587713,0.06801042547882648,1.051449865823164,0.5751693167284212,-0.36302170749543156,1.000697516451625,-0.5119981004897303,0.6048653959958259,-1.152552546980019,-1.2165962303093834,-0.11794364193445263,-0.49839429904029875
Sam Houston St.,51.9,51.3,32.7,50.0,37.4,37.0,16.900000000000002,19.0,36.2,29.6,50.4,57.0,78.1,67.6,39.0,44.9,47.5,50.3,156,Sam Houston St.,CUSA,6-3,108.3904377355504,108.51276012448076,0.4967573371123567,0.474912635573241,70.43932778648153,2026,0.22955783721973358,0.04898159969576935,-0.2909071227387868,0.5320440131107397,1.299961060703218,1.3018247671504881,-0.45814179890534273,1.919591675978998,-0.23968340309144923,1.0591111149510986,0.785279952004388,-1.0409066659694806,-0.11929378929868194,1.0106930814457924,0.6351731675461538
Southern Illinois,52.7,49.6,35.2,30.7,32.7,32.300000000000004,16.2,16.900000000000002,27.4,33.6,57.1,49.0,68.2,71.3,27.4,41.3,49.0,53.7,149,Southern Illinois,MVC,5-4,108.15694888101136,107.10032312354538,0.5281951057118788,0.4579655198007953,70.0740891022361,2026,0.4052613456552849,-0.3628487879902136,-0.5659876921679516,-0.2569127213628176,0.3349330631107788,0.2320410978428324,-0.0942998567807777,-0.7666545618903005,1.0194911667477324,-0.5946880591971421,-1.482788752103243,0.07555214413589832,-1.9640341249108764,0.2851409021299205,0.49704088852756956
Texas,55.00000000000001,48.0,50.2,38.6,36.7,24.9,14.4,14.3,33.7,36.3,57.9,44.7,72.1,72.1,38.8,33.9,47.3,42.5,42,Texas,SEC,7-3,118.77537106176564,102.67895376504757,0.8422026970439646,0.4277109759635761,68.77304880343033,2026,0.9104089324074931,-0.750453858753493,-1.2733377278429434,-1.2337162973776996,1.1562334865937065,-1.4522991474500753,2.0887517959666124,0.3328970069784799,1.1698403691165893,-1.4836051153018208,0.14094225197381136,0.8291618409570279,-0.15109965715406504,-1.2062719109082598,0.004990978917503892
Lamar,45.8,50.0,23.0,45.5,33.0,29.4,16.5,20.9,31.4,32.2,45.3,51.0,64.7,65.2,28.4,38.1,54.2,54.4,195,Lamar,Slnd,5-3,100.99217716029506,103.90436494719889,0.4189901606411818,0.3071511637783259,65.7427901077283,2026,-1.1101814146013382,-0.26594752029939417,-0.44809601955545264,1.245862010967768,0.3965305948719978,-0.4280381874746592,-1.8698485343486555,1.2932648329524776,-1.1981595681929156,-0.1812382656600819,-0.45184843205432035,-0.3152084394009839,-1.805004785633963,-0.35979436837307566,-1.1410446348017067
Gonzaga,57.9,43.4,27.800000000000004,36.5,38.0,24.1,14.099999999999998,21.1,35.6,26.8,60.0,46.3,72.1,66.8,32.0,47.0,57.1,53.7,3,Gonzaga,WCC,9-1,121.75428514347789,93.09824013508594,0.9563124396961744,0.6267485870450222,71.61925206260656,2026,1.5473341504863614,-1.8648184371979206,-1.391229400455443,1.3210007475842984,1.4231561242256574,-1.6343899847790373,-1.17127200546949,0.04061114689943691,1.5645070253348403,-1.1528452804721738,0.6306389039970494,-1.822427833043246,-1.2324991642370748,1.4339318527133846,1.0814173261221507
Towson,48.3,52.2,29.0,29.0,37.3,25.9,17.5,14.8,28.0,30.1,51.8,57.3,66.2,70.1,35.8,42.1,36.4,43.4,161,Towson,CAA,6-4,105.55888743869323,106.04258767239318,0.4868590675405071,0.5174755258010397,63.32717680193443,2026,-0.5611079507402434,0.26700945200011517,-0.055123777513790245,-1.0458694558363764,1.2794285501161444,-1.2246856007888716,-0.9966278732496994,-1.0032669248114303,0.023427701054051016,1.121128583981657,-1.3281477040959044,-0.9013493147063083,-0.6281876749848049,0.4463747197556706,-2.0546230303823547
